DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
CCS-0521,234800,Mk10,DS,2,0,2,333,333,21:40:11 30-Jun-2022,SR,B,42.1895,-70.1053,42.1895,-70.1053,,,401677785,-133
CCS-0521,234800,Mk10,DS,1,0,1,,,21:40:11 30-Jun-2022,NK,B,42.0300,-70.1404,42.0300,-70.1404,8,,401677836,-137
CCS-0521,234800,Mk10,DS,5,0,2,87,21,23:15:39 30-Jun-2022,NK,1,42.2465,-70.1441,42.2465,-70.1441,48,,401677783,-121
CCS-0521,234800,Mk10,DS,3,0,1,59,21,23:17:12 30-Jun-2022,SR,A,42.2212,-70.1081,42.2212,-70.1081,8,,401677802,-123
CCS-0521,234800,Mk10,DS,2,0,2,50,50,00:05:03 01-Jul-2022,A1,B,42.2226,-70.1451,42.2226,-70.1451,7,,401677820,-137
CCS-0521,234800,Mk10,DS,1,0,1,,,00:40:15 01-Jul-2022,NP,B,42.2013,-70.1520,42.2013,-70.1520,8,,401677784,-131
CCS-0521,234800,Mk10,DS,4,0,3,107,42,00:46:54 01-Jul-2022,MC,2,42.1799,-70.1818,42.1799,-70.1818,56,,401677770,-114
CCS-0521,234800,Mk10,DS,1,0,1,,,00:54:20 01-Jul-2022,NK,B,42.1794,-70.1823,42.1794,-70.1823,6,,401677765,-116
CCS-0521,234800,Mk10,DS,3,0,2,79,76,08:56:22 01-Jul-2022,SR,A,42.1522,-70.1431,42.1522,-70.1431,8,,401677750,-134
CCS-0521,234800,Mk10,DS,3,0,2,37,35,09:10:42 01-Jul-2022,A1,A,42.1249,-70.1783,42.1249,-70.1783,6,,401677779,-130
CCS-0521,234800,Mk10,DS,3,0,0,59,16,10:34:01 01-Jul-2022,SR,A,42.1154,-70.1080,42.1154,-70.1080,8,,401677772,-126
CCS-0521,234800,Mk10,DS,2,0,0,24,24,10:44:31 01-Jul-2022,A1,B,42.1193,-70.2072,42.1193,-70.2072,6,,401677754,-127
CCS-0521,234800,Mk10,DS,1,0,1,,,11:22:09 01-Jul-2022,NP,B,42.1134,-70.2021,42.1134,-70.2021,8,,401677760,-140
CCS-0521,234800,Mk10,DS,2,0,2,228,228,11:31:10 01-Jul-2022,NK,B,42.1143,-70.2034,42.1143,-70.2034,6,,401677765,-129
CCS-0521,234800,Mk10,DS,4,0,1,57,14,13:01:45 01-Jul-2022,MC,0,42.0128,-70.1483,42.0128,-70.1483,48,,401677742,-124
CCS-0521,234800,Mk10,DS,2,0,0,18,18,13:04:15 01-Jul-2022,NP,B,42.0212,-70.2443,42.0212,-70.2443,6,,401677777,-121
CCS-0521,234800,Mk10,DS,1,0,1,,,13:08:25 01-Jul-2022,NK,B,42.0062,-70.1395,42.0062,-70.1395,6,,401677744,-127
CCS-0521,234800,Mk10,DS,3,0,1,103,42,14:37:00 01-Jul-2022,NP,A,42.0645,-70.2132,42.0645,-70.2132,8,,401677789,-127
CCS-0521,234800,Mk10,DS,5,0,2,118,22,14:41:42 01-Jul-2022,NN,1,42.0894,-70.1563,42.0894,-70.1563,46,,401677787,-124
CCS-0521,234800,Mk10,DS,4,0,1,168,22,14:40:16 01-Jul-2022,MC,0,42.1608,-70.2440,42.1608,-70.2440,46,,401677804,-114
CCS-0521,234800,Mk10,DS,4,0,2,128,18,16:16:26 01-Jul-2022,NN,0,42.1115,-70.1616,42.1115,-70.1616,48,,401677781,-130
CCS-0521,234800,Mk10,DS,2,0,1,76,76,16:22:29 01-Jul-2022,MC,B,42.1443,-70.1371,42.1443,-70.1371,6,,401677799,-129
CCS-0521,234800,Mk10,DS,2,0,1,237,237,22:15:41 01-Jul-2022,A1,B,42.1249,-70.1352,42.1249,-70.1352,8,,401677802,-125
