DeployID,Ptt,DepthSensor,Source,Instr,Day,Time,LocationQuality,Latitude,Longitude,Depth,DRange,Temperature,TRange,Activity,ARange
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:00:00,,,,0.5,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:01:15,,,,2.5,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:02:30,,,,3.0,0.75,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:03:45,,,,0.5,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:05:00,,,,2.5,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:06:15,,,,0.5,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:07:30,,,,1.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:08:45,,,,11.0,1.75,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:10:00,,,,11.0,1.75,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:11:15,,,,4.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:12:30,,,,3.0,0.75,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:13:45,,,,3.0,0.75,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:15:00,,,,3.0,0.75,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:16:15,,,,3.0,0.75,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:17:30,,,,3.0,0.75,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:18:45,,,,4.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:20:00,,,,1.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:21:15,,,,3.0,0.75,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:22:30,,,,6.5,1.00,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:23:45,,,,11.0,1.75,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:25:00,,,,11.0,1.75,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:26:15,,,,2.5,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:27:30,,,,1.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:28:45,,,,5.0,1.00,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:30:00,,,,7.5,0.75,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:31:15,,,,2.5,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:32:30,,,,11.0,1.75,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:33:45,,,,5.0,1.00,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:35:00,,,,3.0,0.75,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:36:15,,,,1.5,0.75,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:37:30,,,,1.5,0.75,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:38:45,,,,1.5,0.75,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:40:00,,,,3.0,0.75,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:41:15,,,,5.0,1.00,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:42:30,,,,11.0,1.75,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:43:45,,,,7.5,0.75,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:45:00,,,,11.0,1.75,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:46:15,,,,14.0,1.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:47:30,,,,14.0,1.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:48:45,,,,7.5,0.75,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:50:00,,,,6.5,1.00,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:51:15,,,,14.0,1.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:52:30,,,,3.0,0.75,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:53:45,,,,1.5,0.75,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:55:00,,,,1.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:56:15,,,,5.0,1.00,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:57:30,,,,9.0,1.00,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,00:58:45,,,,1.5,0.75,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:00:00,,,,3.5,0.75,17.8,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:01:15,,,,0.5,0.75,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:02:30,,,,0.5,0.75,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:03:45,,,,2.0,0.75,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:05:00,,,,3.0,0.50,17.8,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:06:15,,,,1.5,0.50,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:07:30,,,,0.5,0.75,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:08:45,,,,1.5,0.50,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:10:00,,,,2.0,0.75,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:11:15,,,,2.0,0.75,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:12:30,,,,2.0,0.75,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:13:45,,,,0.5,0.75,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:15:00,,,,1.5,0.50,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:16:15,,,,0.5,0.75,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:17:30,,,,1.5,0.50,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:18:45,,,,2.0,0.75,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:20:00,,,,2.0,0.75,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:21:15,,,,0.5,0.75,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:22:30,,,,2.0,0.75,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:23:45,,,,0.5,0.75,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:25:00,,,,1.5,0.50,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:26:15,,,,1.5,0.50,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:27:30,,,,0.5,0.75,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:28:45,,,,0.5,0.75,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:30:00,,,,2.0,0.75,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:31:15,,,,0.5,0.75,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:32:30,,,,1.5,0.50,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:33:45,,,,0.5,0.75,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:35:00,,,,0.5,0.75,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:36:15,,,,0.5,0.75,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:37:30,,,,0.5,0.75,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:38:45,,,,1.5,0.50,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:40:00,,,,0.5,0.75,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:41:15,,,,1.5,0.50,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:42:30,,,,0.5,0.75,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:43:45,,,,1.5,0.50,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:45:00,,,,0.5,0.75,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:46:15,,,,0.5,0.75,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:47:30,,,,1.5,0.50,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:48:45,,,,1.5,0.50,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:50:00,,,,0.5,0.75,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:51:15,,,,0.5,0.75,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:52:30,,,,1.5,0.50,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:53:45,,,,1.5,0.50,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:55:00,,,,0.5,0.75,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:56:15,,,,2.0,0.75,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:57:30,,,,0.5,0.75,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,01:58:45,,,,2.0,0.75,19.3,0.40,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:00:00,,,,1.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:01:15,,,,2.0,0.25,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:02:30,,,,2.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:03:45,,,,1.5,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:05:00,,,,1.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:06:15,,,,1.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:07:30,,,,1.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:08:45,,,,1.5,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:10:00,,,,1.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:11:15,,,,1.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:12:30,,,,1.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:13:45,,,,1.5,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:15:00,,,,1.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:16:15,,,,1.5,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:17:30,,,,1.5,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:18:45,,,,2.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:20:00,,,,1.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:21:15,,,,1.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:22:30,,,,1.5,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:23:45,,,,1.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:25:00,,,,1.5,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:26:15,,,,0.5,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:27:30,,,,2.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:28:45,,,,2.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:30:00,,,,1.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:31:15,,,,2.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:32:30,,,,1.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:33:45,,,,1.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:35:00,,,,1.5,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:36:15,,,,1.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:37:30,,,,1.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:38:45,,,,1.5,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:40:00,,,,1.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:41:15,,,,1.5,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:42:30,,,,1.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:43:45,,,,1.5,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:45:00,,,,0.5,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:46:15,,,,1.5,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:47:30,,,,1.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:48:45,,,,1.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:50:00,,,,1.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:51:15,,,,1.5,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:52:30,,,,0.5,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:53:45,,,,1.5,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:55:00,,,,2.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:56:15,,,,1.5,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:57:30,,,,2.0,0.50,,,,
CCS-2013,234801,,Transmission,Mk10,06-Jul-2022,02:58:45,,,,1.0,0.50,,,,
