DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
CCS-0710,234802,,Transmission,Mk10,TAD,00:00:00 07-Jul-2022,184.000000,2,0,,,,8,100.000000,49.0,9.4,13.7,16.7,9.0,2.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,TAD,00:00:00 10-Jul-2022,184.000000,1,0,,,,8,100,57.8,5.7,7.9,11.8,9.3,7.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,TAD,00:00:00 11-Jul-2022,184.000000,4,0,,,,8,100.000000,57.7,9.0,9.5,11.1,11.1,1.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,TAD,00:00:00 12-Jul-2022,184.000000,3,0,,,,8,100.000000,56.5,8.9,14.0,15.5,4.0,1.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,TAD,00:00:00 14-Jul-2022,184.000000,2,0,,,,8,100.000000,54.5,11.1,9.0,6.8,6.4,10.0,1.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,TAD,00:00:00 15-Jul-2022,184.000000,1,0,,,,8,100,48.4,13.7,13.3,11.0,8.3,5.1,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,TAD,00:00:00 16-Jul-2022,185.000000,3,0,,,,8,100.000000,50.6,11.5,17.7,14.1,3.2,2.8,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,TAD,00:00:00 17-Jul-2022,185.000000,2,0,,,,8,100.000000,52.7,13.9,14.1,11.8,4.4,2.9,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,TAD,00:00:00 18-Jul-2022,185.000000,1,0,,,,8,100.000000,55.4,11.3,12.4,8.0,5.2,7.4,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,TAD,00:00:00 19-Jul-2022,185.000000,1,0,,,,8,100.000000,62.8,14.8,11.3,7.6,2.0,1.2,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,TAD,00:00:00 21-Jul-2022,185.000000,2,0,,,,8,100,50.2,10.2,22.6,14.2,2.0,0.6,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,TAD,00:00:00 22-Jul-2022,185.000000,2,0,,,,8,100.000000,53.9,10.6,15.9,12.1,5.3,2.1,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,TAD,00:00:00 24-Jul-2022,185.000000,1,0,,,,8,100,45.8,12.6,16.2,12.4,10.6,2.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,TAD,00:00:00 25-Jul-2022,185.000000,4,0,,,,8,100.000000,61.3,11.8,17.3,7.2,2.2,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,TAD,00:00:00 26-Jul-2022,185.000000,4,0,,,,8,100,49.7,11.9,22.7,10.8,3.3,1.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,TAD,00:00:00 27-Jul-2022,185.000000,3,0,,,,8,100,41.2,14.6,24.8,11.8,6.2,1.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,TAD,00:00:00 30-Jul-2022,185.000000,1,0,,,,8,100,51.4,18.3,17.7,9.7,2.0,0.6,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,TAD,00:00:00 31-Jul-2022,186.000000,1,0,,,,8,100,45.8,13.5,10.4,14.2,12.9,3.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,TAD,00:00:00 01-Aug-2022,186.000000,3,0,,,,8,100,55.7,8.5,17.9,10.9,6.1,0.9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,TAD,00:00:00 02-Aug-2022,186.000000,1,0,,,,8,100,56.2,8.0,16.4,15.5,3.3,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,TAD,00:00:00 03-Aug-2022,186.000000,1,0,,,,8,100,61.3,7.9,12.7,13.7,4.1,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0710,234802,,Transmission,Mk10,TAD,00:00:00 04-Aug-2022,186.000000,1,0,,,,8,100,60.6,7.1,15.0,15.9,1.2,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
