DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error Radius,Error Semi-Major Axis,Error Semi-Minor Axis,Error Ellipse Orientation,Offset,Offset Orientation,GPE MSD,GPE U,Count,Comment
243052,243052,Mk10,17:08:00 25-Jul-2023,User,,42.1350,-70.2453,,,,,,,,,,
243052,243052,Mk10,20:15:28.174000 25-Jul-2023,FastGPS,4,42.2591,-70.2794,,,,,,,,,,
243052,243052,Mk10,22:57:22.840000 25-Jul-2023,FastGPS,5,42.2058,-70.2778,,,,,,,,,,
243052,243052,Mk10,23:15:04 25-Jul-2023,Argos,0,42.8555,-73.6976,9587,144321,636,105,,,,,,
243052,243052,Mk10,23:17:48 25-Jul-2023,Argos,B,42.2098,-69.9820,2972,51794,170,78,,,,,,
243052,243052,Mk10,23:27:39.751000 25-Jul-2023,FastGPS,4,42.1857,-70.2642,,,,,,,,,,
243052,243052,Mk10,00:02:45 26-Jul-2023,Argos,B,42.2195,-69.9950,5653,9200,3473,81,,,,,,
243052,243052,Mk10,02:12:53 26-Jul-2023,Argos,B,42.1332,-69.9954,15657,33167,7390,85,,,,,,
243052,243052,Mk10,03:51:52 26-Jul-2023,Argos,B,42.1161,-69.9994,14949,26341,8484,87,,,,,,
243052,243052,Mk10,03:51:52 26-Jul-2023,Argos,B,42.1225,-69.9980,2140,3812,1201,82,,,,,,
243052,243052,Mk10,05:13:23.840000 26-Jul-2023,FastGPS,5,42.1110,-70.1665,,,,,,,,,,
243052,243052,Mk10,07:55:51.130725 26-Jul-2023,FastGPS,4,42.1037,-70.1673,,,,,,,,,,
243052,243052,Mk10,08:46:04.838167 26-Jul-2023,FastGPS,4,42.0993,-70.1737,,,,,,,,,,
243052,243052,Mk10,09:24:18 26-Jul-2023,Argos,A,42.0003,-70.0909,2426,21157,278,147,,,,,,
243052,243052,Mk10,09:56:26 26-Jul-2023,Argos,1,42.1078,-70.1607,1269,9612,167,73,,,,,,
243052,243052,Mk10,10:30:38 26-Jul-2023,Argos,0,42.1169,-70.2308,3485,9811,1237,90,,,,,,
243052,243052,Mk10,10:35:43.833582 26-Jul-2023,FastGPS,4,42.1163,-70.1602,,,,,,,,,,
243052,243052,Mk10,11:05:32.972063 26-Jul-2023,FastGPS,4,42.1219,-70.1566,,,,,,,,,,
243052,243052,Mk10,11:07:25 26-Jul-2023,Argos,B,42.0196,-70.2162,31074,59188,16314,79,,,,,,
243052,243052,Mk10,11:12:04 26-Jul-2023,Argos,B,42.0228,-70.2198,29240,54301,15745,80,,,,,,
243052,243052,Mk10,12:19:27 26-Jul-2023,Argos,0,42.1339,-70.3063,5005,24180,1035,124,,,,,,
243052,243052,Mk10,12:41:29 26-Jul-2023,Argos,B,42.0148,-70.2913,49579,74154,33147,92,,,,,,
243052,243052,Mk10,12:49:49 26-Jul-2023,Argos,B,42.1325,-70.2049,4954,98716,248,109,,,,,,
243052,243052,Mk10,13:37:31 26-Jul-2023,Argos,0,42.0889,-70.1902,2390,3523,1620,102,,,,,,
243052,243052,Mk10,13:59:19 26-Jul-2023,Argos,0,42.1018,-70.2005,3485,22900,530,99,,,,,,
243052,243052,Mk10,14:30:54 26-Jul-2023,Argos,B,42.1230,-70.2881,3528,7120,1748,107,,,,,,
243052,243052,Mk10,14:30:54 26-Jul-2023,Argos,0,42.0752,-70.1623,1563,1736,1406,67,,,,,,
243052,243052,Mk10,14:58:35.924192 26-Jul-2023,FastGPS,4,42.1031,-70.1941,,,,,,,,,,
