Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
CCS-0304,25-Jul-2023,20:15:22,2,7.000000,84,123,0,4,,,,,,,,,,,,,,,15,29,27982,,,,24,25698,,,,23,12120,,,,10,11511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0304,25-Jul-2023,22:57:17,1,7.000000,85,130,0,5,,,,,,,,,,,,,,,15,12,29284,,,,24,5125,,,,25,15668,,,,10,22701,,,,15,16532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0304,25-Jul-2023,23:27:34,1,7.000000,86,130,0,4,,,,,,,,,,,,,,,15,12,26660,,,,23,17204,,,,24,19768,,,,25,11394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0304,26-Jul-2023,05:13:18,1,7.000000,89,139,0,5,,,,,,,,,,,,,,,15,31,5305,,,,26,200,,,,27,17065,,,,8,16459,,,,18,6532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0304,26-Jul-2023,07:55:45,4,7.000000,91,141,0,4,,,,,,,,,,,,,,,15,27,23083,,,,2,14118,,,,21,9792,,,,16,15217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0304,26-Jul-2023,08:45:59,2,7.000000,92,142,0,4,,,,,,,,,,,,,,,15,14,6176,,,,21,22695,,,,8,8804,,,,2,5748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0304,26-Jul-2023,10:35:38,1,7.000000,93,147,0,4,,,,,,,,,,,,,,,15,2,4044,,,,21,4653,,,,1,29238,,,,14,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0304,26-Jul-2023,11:05:27,1,7.000000,94,147,0,4,,,,,,,,,,,,,,,15,30,26531,,,,19,18020,,,,6,3647,,,,17,5883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0304,26-Jul-2023,14:58:30,1,7.000000,97,156,0,4,,,,,,,,,,,,,,,15,5,4874,,,,20,18958,,,,25,26392,,,,12,20705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0304,26-Jul-2023,19:58:47,1,7.000000,102,165,0,5,,,,,,,,,,,,,,,15,23,6412,,,,10,27222,,,,13,5751,,,,27,30010,,,,18,10580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0304,27-Jul-2023,05:44:48,1,7.000000,105,187,0,4,,,,,,,,,,,,,,,15,26,29176,,,,18,24724,,,,8,20456,,,,16,14801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0304,27-Jul-2023,08:10:26,2,7.000000,107,192,0,4,,,,,,,,,,,,,,,15,16,8309,,,,8,9690,,,,13,2605,,,,27,10863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0304,27-Jul-2023,08:42:39,1,7.000000,108,192,0,5,,,,,,,,,,,,,,,15,17,10864,,,,13,22370,,,,7,20363,,,,30,8291,,,,14,25987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0304,27-Jul-2023,23:25:43,1,7.000000,119,224,0,4,,,,,,,,,,,,,,,15,23,29745,,,,12,3293,,,,24,27320,,,,25,3673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0304,28-Jul-2023,00:14:17,1,7.000000,120,225,0,4,,,,,,,,,,,,,,,15,12,6690,,,,10,9842,,,,32,11768,,,,23,10392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-0304,28-Jul-2023,12:26:04,1,7.000000,126,248,0,4,,,,,,,,,,,,,,,15,14,18653,,,,6,30247,,,,11,10664,,,,24,8579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
