Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,50CI,95CI,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
243055,25-Jul-2023,15:50:54,1,3.000000,81,19,0,5,41.93288,-70.10240,22:55:36 25-Jul-2023,Argos,42.11346,-70.17614,,,,,10.7,-1.0,,,,15,13,932,,,,6,32370,,,,9,24623,,,,17,10078,,,,19,2436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243055,25-Jul-2023,18:03:36,1,3.000000,85,19,0,4,42.03080,-70.09222,18:03:38 25-Jul-2023,Interpolated,42.19781,-70.04701,,,,,3.9,-1.0,,,,15,23,27980,,,,13,20311,,,,15,30260,,,,29,27904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243055,26-Jul-2023,01:42:36,1,3.000000,94,25,0,7,41.94410,-70.06404,01:42:38 26-Jul-2023,Interpolated,41.74445,-69.80370,,2,,,15.9,-1.3,,,,15,31,17500,,,,3,5909,,,,28,14618,,,,12,30495,,,,25,11763,,,,22,3410,,,,1,12514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243055,26-Jul-2023,08:16:40,1,3.000000,96,32,0,5,41.78416,-69.91966,08:16:42 26-Jul-2023,Interpolated,41.65834,-69.80639,,,,,9.8,-1.2,,,,15,16,8597,,,,21,25025,,,,2,12677,,,,8,8723,,,,30,25031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243055,26-Jul-2023,10:25:40,1,3.000000,100,32,0,5,41.73825,-69.94718,10:25:42 26-Jul-2023,Interpolated,41.67830,-69.84126,,1,,,29.0,-3.0,,,,15,3,6250,,,,1,8594,,,,21,3799,,,,2,28218,,,,8,24559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243055,26-Jul-2023,15:13:37,1,3.000000,106,38,0,5,41.75654,-69.98022,15:13:39 26-Jul-2023,Interpolated,41.70773,-69.82134,,,,,5.3,-0.7,,,,15,9,27424,,,,6,5546,,,,17,15932,,,,19,10592,,,,11,5185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243055,26-Jul-2023,19:24:49,1,3.000000,113,40,0,4,41.68815,-69.79328,19:24:51 26-Jul-2023,Interpolated,41.75833,-69.89469,,,,,2.1,-1.1,,,,15,5,20193,,,,15,21538,,,,13,25238,,,,11,8841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243055,27-Jul-2023,04:29:41,1,3.000000,122,47,0,4,41.68841,-69.82824,04:29:43 27-Jul-2023,Interpolated,41.73826,-69.84675,,,,,18.5,-1.3,,,,15,27,10593,,,,26,14048,,,,31,24311,,,,28,28360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243055,27-Jul-2023,09:25:07,1,3.000000,126,51,0,6,41.73626,-69.82153,09:25:09 27-Jul-2023,Interpolated,41.68855,-69.84719,,1,,,4.1,-0.7,,,,15,7,18878,,,,21,16702,,,,1,14408,,,,2,16674,,,,8,5109,,,,30,27624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243055,27-Jul-2023,21:02:16,1,3.000000,143,60,0,5,41.60619,-69.47199,21:02:19 27-Jul-2023,Interpolated,41.71747,-69.87611,,,,,1.6,-0.9,,,,15,10,7083,,,,27,29535,,,,24,5399,,,,32,5091,,,,23,30050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243055,28-Jul-2023,01:16:32,1,3.000000,145,67,0,6,41.78065,-69.85899,01:16:35 28-Jul-2023,Interpolated,41.79119,-69.86455,,1,,,1.4,-0.8,,,,15,32,23148,,,,22,10988,,,,25,6586,,,,12,25254,,,,29,18832,,,,3,27525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243055,28-Jul-2023,09:29:35,1,3.000000,150,72,0,4,41.80514,-69.87921,09:29:38 28-Jul-2023,Interpolated,41.71417,-69.83679,,,,,3.4,-0.8,,,,15,19,7098,,,,17,28386,,,,1,18142,,,,30,9120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243055,28-Jul-2023,14:55:58,1,3.000000,156,80,0,6,41.76938,-69.83728,14:56:01 28-Jul-2023,Interpolated,41.75156,-69.83672,,,,,14.7,-1.1,,,,15,12,27006,,,,5,12925,,,,19,23078,,,,20,16848,,,,25,11782,,,,17,29060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243055,28-Jul-2023,15:44:41,1,3.000000,157,81,0,4,41.75154,-69.82814,15:44:44 28-Jul-2023,Interpolated,41.75027,-69.82063,,,,,6.4,0.0,,,,15,6,31055,,,,11,5162,,,,4,22564,,,,20,714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
