"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"",243055,17552,46.87687,-95.83079,A,07/25/2023 15:37:40,Argos,0,280,MC,,401650000,07/25/2023 15:34:15,1,2,0,-124,401650000,-95.83079,46.87687,-70.17622,42.06985,0,0,0,0,0,29,1084,20,57,61,242,228,128,0,124,233,140,0,,,,,,,,,,,,,,,,,,,,,
"",243055,17552,46.87687,-95.83079,A,07/25/2023 15:37:40,Argos,0,280,MC,,401650000,07/25/2023 15:38:55,1,2,0,-124,401650000,-95.83079,46.87687,-70.17622,42.06985,0,0,0,0,0,29,1084,117,202,93,159,100,82,130,196,58,74,71,54,83,225,190,101,249,146,195,192,0,0,0,,,,,,,,,
"",243055,17552,46.87687,-95.83079,A,07/25/2023 15:37:40,Argos,0,280,MC,,401650000,07/25/2023 15:39:51,1,2,0,-124,401650000,-95.83079,46.87687,-70.17622,42.06985,0,0,0,0,0,29,1084,122,216,173,159,84,0,81,187,231,30,172,50,253,150,203,204,245,146,131,64,0,0,0,,,,,,,,,
"",243055,17552,41.95598,-70.09979,B,07/25/2023 21:21:36,Argos,0,319,CS,,401677545.88,07/25/2023 21:18:57,1,2,0,-120,401677545.88,-70.09979,41.95598,-70.09979,41.95598,1,3,0,0,0,71,5027,211,135,45,243,76,172,83,91,247,20,198,159,213,210,40,69,174,150,140,250,25,118,161,244,17,57,224,15,78,222,71,
"",243055,17552,42.06184,-70.17242,B,07/25/2023 21:18:57,Argos,0,0,NK,,401677497.45,07/25/2023 21:18:57,1,1,0,-135,401677497.45,-70.17242,42.06184,-95.31808,45.34876,8,3,0,0,0,82,6631,211,135,45,243,76,154,25,8,146,76,188,81,0,93,119,216,138,3,178,74,151,155,71,198,253,74,35,119,153,93,170,
"",243055,17552,41.95598,-70.09979,B,07/25/2023 21:21:36,Argos,0,319,CS,,401677545.88,07/25/2023 21:24:16,1,2,0,-120,401677545.88,-70.09979,41.95598,-70.09979,41.95598,1,3,0,0,0,71,5027,209,14,221,243,72,2,136,209,4,76,12,92,132,136,128,55,255,166,34,33,132,192,204,204,68,136,132,136,128,72,140,
"",243055,17552,41.93288,-70.1024,B,07/25/2023 22:55:36,Argos,0,0,CS,,401677505.98,07/25/2023 22:55:36,1,1,0,-132,401677505.98,-70.1024,41.93288,-70.1024,41.93288,8,3,4827,14366,1621,74,6134,184,115,13,243,55,65,78,148,66,65,21,24,56,134,1,41,252,242,9,65,27,68,128,96,16,252,24,20,245,80,0,
"",243055,17552,41.93509,-70.05902,B,07/25/2023 22:55:36,Argos,0,0,NK,,401677554.85,07/25/2023 22:55:36,1,1,0,-129,401677554.85,-70.05902,41.93509,-70.05902,41.93509,0,3,4610,13306,1597,72,5849,184,115,13,243,55,65,78,148,66,65,21,24,56,134,1,41,252,242,9,65,27,68,128,96,16,252,24,20,245,80,0,
"",243055,17552,41.93489,-70.05647,B,07/25/2023 23:15:58,Argos,0,0,SR,,401677553.14,07/25/2023 23:15:58,1,1,1,-116,401677553.14,-70.05647,41.93489,-70.05647,41.93489,6,3,2486,7303,846,89,4458,216,148,77,243,60,166,234,51,243,39,173,141,194,255,7,16,44,248,54,14,96,144,119,98,63,231,195,191,255,251,116,
"",243055,17552,41.95731,-70.04392,B,07/25/2023 23:20:26,Argos,0,0,A1,,401677624.62,07/25/2023 23:20:27,1,1,0,-121,401677624.62,-70.04392,41.95731,-70.04392,41.95731,6,3,3626,9315,1411,89,4636,214,9,29,243,56,3,201,220,85,153,157,73,242,34,34,39,255,164,81,217,152,101,221,221,222,12,107,127,254,161,192,
