DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
243055,243055,Mk10,14:58:00 25-Jul-2023,User,,42.1066,-70.1955,,,,,,,,,,
243055,243055,Mk10,21:18:57 25-Jul-2023,Argos,B,42.0618,-70.1724,,,,,,,,,,
243055,243055,Mk10,21:21:36 25-Jul-2023,Argos,B,41.9560,-70.0998,,,,,,,,,,
243055,243055,Mk10,22:55:36 25-Jul-2023,Argos,B,41.9329,-70.1024,4827,14366,1621,74,,,,,,
243055,243055,Mk10,22:55:36 25-Jul-2023,Argos,B,41.9351,-70.0590,4610,13306,1597,72,,,,,,
243055,243055,Mk10,23:15:58 25-Jul-2023,Argos,B,41.9349,-70.0565,2486,7303,846,89,,,,,,
243055,243055,Mk10,23:20:26 25-Jul-2023,Argos,B,41.9573,-70.0439,3626,9315,1411,89,,,,,,
243055,243055,Mk10,00:50:52 26-Jul-2023,Argos,B,41.9521,-69.9579,1800,2730,1186,89,,,,,,
243055,243055,Mk10,00:50:52 26-Jul-2023,Argos,B,41.9455,-69.9556,1798,2734,1181,89,,,,,,
243055,243055,Mk10,09:55:41 26-Jul-2023,Argos,B,41.7483,-69.9117,25260,144346,4420,90,,,,,,
243055,243055,Mk10,11:01:39 26-Jul-2023,Argos,B,41.7262,-69.9896,22546,,,,,,,,,
243055,243055,Mk10,11:12:57 26-Jul-2023,Argos,B,41.7217,-69.9477,19576,160911,2381,90,,,,,,
243055,243055,Mk10,12:19:51 26-Jul-2023,Argos,A,41.6236,-69.8468,9737,64699,1465,179,,,,,,
243055,243055,Mk10,12:41:31 26-Jul-2023,Argos,B,41.7151,-70.0076,26002,95436,7084,91,,,,,,
243055,243055,Mk10,12:54:30 26-Jul-2023,Argos,B,41.7192,-70.0109,17615,68118,4555,88,,,,,,
243055,243055,Mk10,13:35:45 26-Jul-2023,Argos,B,41.7514,-69.8242,9336,217118,401,116,,,,,,
243055,243055,Mk10,13:57:57 26-Jul-2023,Argos,0,41.7586,-69.9149,12709,102243,1579,89,,,,,,
243055,243055,Mk10,14:30:27 26-Jul-2023,Argos,B,41.7593,-69.9791,19159,32462,11307,91,,,,,,
