DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
243062,243062,Mk10,15:58:53 10-Aug-2023,,,,,,CRC 2718.5890,15:14:17 10-Aug-2023,Fast-GPS,112,169,238,20,244,228,87,162,49,243,212,26,155,190,236,190,118,131,176,123,130,9,181,,,,,,,,,
243062,243062,Mk10,15:59:16 10-Aug-2023,,,,,,CRC 56788.19473,15:45:30 10-Aug-2023,Fast-GPS,125,221,78,20,246,215,144,166,180,211,178,122,142,202,153,19,41,244,140,58,54,156,94,,,,,,,,,
243062,243062,Mk10,16:03:03 10-Aug-2023,,,,,,CRC 6015.26994,15:00:00 10-Aug-2023,DiveDepth,49,119,254,20,240,117,1,2,0,0,0,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,17:38:55 10-Aug-2023,,,,,,CRC 34648.36419,,DiveDepth,56,117,140,79,187,235,170,46,9,72,95,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,21:36:51 10-Aug-2023,,,A,42.1126,-70.3222,CRC 22449.46307,,TimeSeries,213,123,30,5,178,229,228,150,124,233,153,216,201,156,136,76,64,152,153,161,129,179,28,189,27,77,112,223,16,47,105,
243062,243062,Mk10,22:27:31 10-Aug-2023,,,B,42.1110,-70.3239,Too short,,DiveDuration,73,206,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,22:51:41 10-Aug-2023,,,B,42.0902,-70.3216,CRC 11930.1203,19:34:39 10-Aug-2023,Fast-GPS,114,233,174,21,54,41,208,183,225,74,96,230,149,162,7,51,135,47,69,127,223,204,4,,,,,,,,,
243062,243062,Mk10,00:03:57 11-Aug-2023,,,B,42.0787,-70.3326,CRC 60048.27136,20:00:00 10-Aug-2023,TimeSeries,222,169,14,21,76,190,216,255,238,253,221,239,254,255,255,254,238,241,3,136,143,222,255,255,255,255,238,238,223,238,254,
243062,243062,Mk10,01:36:38 11-Aug-2023,,,A,42.0653,-70.3440,CRC 2531.21525,00:00:00 11-Aug-2023,DiveDuration,64,158,62,22,0,33,208,92,210,168,82,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,01:48:38 11-Aug-2023,,,B,42.0758,-70.2867,CRC 32503.54938,18:21:00 10-Aug-2023,Behavior,183,239,126,21,37,64,192,32,11,180,134,120,178,18,144,150,106,149,242,48,191,239,66,90,134,144,240,8,130,0,0,
243062,243062,Mk10,02:15:36 11-Aug-2023,,,A,42.0807,-70.2678,CRC 7882.12651,18:00:00 10-Aug-2023,TimeSeries,209,236,174,21,40,3,7,86,138,74,32,148,178,174,73,90,53,83,22,211,79,42,48,222,183,53,244,245,116,109,66,
243062,243062,Mk10,02:32:30 11-Aug-2023,,,B,42.0809,-70.2674,CRC 40169.39943,20:00:00 10-Aug-2023,DiveDuration,73,206,158,21,64,57,146,2,6,0,0,32,0,0,0,,,,,,,,,,,,,,,,,
243062,243062,Mk10,03:56:39 11-Aug-2023,,,B,42.0742,-70.2409,CRC 35233.32184,23:35:09 10-Aug-2023,Fast-GPS,120,154,30,21,118,50,81,90,164,255,205,195,199,134,129,186,49,177,195,,,,,,,,,,,,,
243062,243062,Mk10,04:52:16 11-Aug-2023,,,B,42.1083,-70.2710,CRC 46908.13756,,DiveDepth,59,115,204,21,145,177,195,103,105,255,250,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,10:32:50 11-Aug-2023,,,A,42.1062,-70.1398,CRC 3983.3727,19:00:00 10-Aug-2023,DiveDuration,64,248,254,21,48,57,131,2,4,0,16,32,0,0,0,,,,,,,,,,,,,,,,,
243062,243062,Mk10,11:03:30 11-Aug-2023,,,B,42.1090,-70.1319,CRC 21704.38188,15:50:00 10-Aug-2023,Behavior,181,76,142,20,252,128,224,52,93,33,129,184,88,198,76,96,93,22,42,162,185,24,50,71,68,198,49,2,64,0,0,
243062,243062,Mk10,11:42:37 11-Aug-2023,,,A,42.0364,-70.2361,CRC 17769.40168,23:00:00 10-Aug-2023,TimeSeries,212,86,158,21,125,148,208,19,51,19,51,102,102,102,105,153,153,187,187,187,238,238,238,236,238,238,238,238,238,238,238,
243062,243062,Mk10,12:33:34 11-Aug-2023,,,A,42.0866,-70.1874,CRC 60134.44883,,TimeSeries,222,174,99,135,31,29,24,255,205,158,15,15,10,239,24,127,210,141,144,67,200,124,1,196,30,4,162,83,216,158,250,
243062,243062,Mk10,13:02:58 11-Aug-2023,,,0,42.1211,-70.1164,CRC 36793.34356,06:00:00 10-Aug-2023,TAD,24,251,158,20,97,36,0,36,85,245,148,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,13:03:18 11-Aug-2023,,,0,42.1211,-70.1164,CRC 31072.57375,21:00:00 10-Aug-2023,DiveDuration,71,150,14,21,80,157,159,,,,,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,14:04:35 11-Aug-2023,,,0,42.0900,-70.1519,CRC 34796.49135,14:04:35 11-Aug-2023,Fast-GPS,120,126,195,21,241,61,67,67,254,248,0,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,14:06:09 11-Aug-2023,,,0,42.0900,-70.1519,CRC 32671.65116,17:00:00 10-Aug-2023,TimeSeries,215,249,254,21,24,3,39,7,164,185,181,58,113,187,19,61,191,191,27,174,187,51,19,203,247,11,244,127,157,63,252,
243062,243062,Mk10,14:26:49 11-Aug-2023,,,B,42.0913,-70.1478,CRC 64916.23444,16:00:00 10-Aug-2023,TimeSeries,223,217,78,21,8,3,38,247,239,211,167,11,241,57,55,5,59,19,246,63,51,179,115,19,138,240,92,186,162,53,184,
243062,243062,Mk10,14:34:05 11-Aug-2023,,,1,42.1101,-70.2305,CRC 60733.12728,06:00:00 28-Jan-2020,DiveDepth,62,211,208,120,107,64,145,134,12,8,10,,,,,,,,,,,,,,,,,,,,,
243062,243062,Mk10,14:38:01 11-Aug-2023,,,0,42.1396,-70.2864,CRC 7133.38172,15:00:00 10-Dec-2022,TwentyMinTimeline,81,189,219,20,248,3,100,60,60,60,60,60,56,191,183,147,191,187,102,63,231,247,11,255,255,191,250,255,231,90,136,
243062,243062,Mk10,14:46:27 11-Aug-2023,,,0,42.1396,-70.2864,CRC 26242.15008,04:00:00 11-Aug-2023,DiveDuration,70,104,46,22,77,193,253,145,15,250,10,,,,,,,,,,,,,,,,,,,,,
