DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,LocationQuality,Latitude,Longitude,MinDepth,MinDepthAccuracy,MaxDepth,MaxDepthAccuracy,MinTemp,MinTempAccuracy,MaxTemp,MaxTempAccuracy,MobMean,MobSD,ActivitySum
243062,243062,,Transmission,Mk10,7,15:00:00 10-Aug-2023,16:00:00 10-Aug-2023,,,,0.0,0.00,22.0,0.00,7.8,0.00,19.3,0.00,,,
243062,243062,,Transmission,Mk10,3,16:00:00 10-Aug-2023,17:00:00 10-Aug-2023,,,,0.0,0.00,21.0,0.00,7.8,0.00,19.5,0.00,,,
243062,243062,,Transmission,Mk10,2,17:00:00 10-Aug-2023,18:00:00 10-Aug-2023,,,,0.0,0.00,21.0,0.00,,,,,,,
243062,243062,,Transmission,Mk10,1,19:00:00 10-Aug-2023,20:00:00 10-Aug-2023,,,,0.0,0.00,8.0,0.00,,,,,,,
243062,243062,,Transmission,Mk10,1,20:00:00 10-Aug-2023,21:00:00 10-Aug-2023,,,,0.0,0.00,29.0,0.25,,,,,,,
243062,243062,,Transmission,Mk10,1,21:00:00 10-Aug-2023,22:00:00 10-Aug-2023,,,,0.0,0.00,4.0,0.00,,,,,,,
243062,243062,,Transmission,Mk10,2,22:00:00 10-Aug-2023,23:00:00 10-Aug-2023,,,,,,,,18.1,0.00,18.8,0.00,,,
243062,243062,,Transmission,Mk10,1,23:00:00 10-Aug-2023,00:00:00 11-Aug-2023,,,,0.0,0.00,4.0,0.00,,,,,,,
243062,243062,,Transmission,Mk10,1,00:00:00 13-Aug-2023,01:00:00 13-Aug-2023,,,,0.0,0.00,4.0,0.00,,,,,,,
243062,243062,,Transmission,Mk10,1,01:00:00 13-Aug-2023,02:00:00 13-Aug-2023,,,,0.0,0.00,3.5,0.00,,,,,,,
243062,243062,,Transmission,Mk10,2,02:00:00 13-Aug-2023,03:00:00 13-Aug-2023,,,,,,,,18.5,0.00,20.9,0.00,,,
243062,243062,,Transmission,Mk10,2,03:00:00 13-Aug-2023,04:00:00 13-Aug-2023,,,,0.0,0.00,16.5,0.00,,,,,,,
243062,243062,,Transmission,Mk10,1,04:00:00 13-Aug-2023,05:00:00 13-Aug-2023,,,,,,,,16.8,0.00,20.0,0.00,,,
243062,243062,,Transmission,Mk10,1,05:00:00 13-Aug-2023,06:00:00 13-Aug-2023,,,,0.0,0.00,16.5,0.00,,,,,,,
243062,243062,,Transmission,Mk10,1,07:00:00 13-Aug-2023,08:00:00 13-Aug-2023,,,,,,,,8.1,0.00,21.0,0.00,,,
243062,243062,,Transmission,Mk10,1,09:00:00 13-Aug-2023,10:00:00 13-Aug-2023,,,,,,,,8.3,0.00,20.9,0.00,,,
243062,243062,,Transmission,Mk10,1,13:00:00 13-Aug-2023,14:00:00 13-Aug-2023,,,,0.0,0.00,19.0,0.00,,,,,,,
243062,243062,,Transmission,Mk10,1,15:00:00 13-Aug-2023,16:00:00 13-Aug-2023,,,,0.0,0.00,20.5,0.00,,,,,,,
243062,243062,,Transmission,Mk10,1,18:00:00 13-Aug-2023,19:00:00 13-Aug-2023,,,,0.0,0.00,20.5,0.00,,,,,,,
243062,243062,,Transmission,Mk10,1,21:00:00 13-Aug-2023,22:00:00 13-Aug-2023,,,,0.0,0.00,22.5,0.00,,,,,,,
243062,243062,,Transmission,Mk10,1,22:00:00 13-Aug-2023,23:00:00 13-Aug-2023,,,,0.0,0.00,4.5,0.00,19.5,0.00,20.4,0.00,,,
243062,243062,,Transmission,Mk10,1,00:00:00 16-Aug-2023,01:00:00 16-Aug-2023,,,,0.0,0.00,14.0,0.00,9.6,0.00,20.3,0.00,,,
243062,243062,,Transmission,Mk10,2,01:00:00 16-Aug-2023,02:00:00 16-Aug-2023,,,,0.0,0.00,10.0,0.00,10.3,0.00,20.9,0.00,,,
243062,243062,,Transmission,Mk10,1,02:00:00 16-Aug-2023,03:00:00 16-Aug-2023,,,,0.0,0.00,3.0,0.00,,,,,,,
243062,243062,,Transmission,Mk10,1,03:00:00 16-Aug-2023,04:00:00 16-Aug-2023,,,,0.0,0.00,5.5,0.00,,,,,,,
243062,243062,,Transmission,Mk10,1,09:00:00 16-Aug-2023,10:00:00 16-Aug-2023,,,,,,,,8.3,0.00,19.8,0.00,,,
243062,243062,,Transmission,Mk10,1,10:00:00 16-Aug-2023,11:00:00 16-Aug-2023,,,,0.0,0.00,18.5,0.00,8.3,0.00,19.8,0.00,,,
243062,243062,,Transmission,Mk10,1,17:00:00 16-Aug-2023,18:00:00 16-Aug-2023,,,,,,,,8.1,0.00,19.8,0.00,,,
243062,243062,,Transmission,Mk10,1,18:00:00 16-Aug-2023,19:00:00 16-Aug-2023,,,,0.0,0.00,25.0,0.25,,,,,,,
243062,243062,,Transmission,Mk10,1,21:00:00 16-Aug-2023,22:00:00 16-Aug-2023,,,,,,,,8.3,0.00,21.3,0.00,,,
243062,243062,,Transmission,Mk10,1,02:00:00 19-Aug-2023,03:00:00 19-Aug-2023,,,,,,,,19.7,0.00,20.5,0.00,,,
243062,243062,,Transmission,Mk10,1,08:00:00 19-Aug-2023,09:00:00 19-Aug-2023,,,,0.0,0.00,19.0,0.00,,,,,,,
243062,243062,,Transmission,Mk10,1,10:00:00 19-Aug-2023,11:00:00 19-Aug-2023,,,,0.0,0.00,20.0,0.00,,,,,,,
243062,243062,,Transmission,Mk10,1,11:00:00 19-Aug-2023,12:00:00 19-Aug-2023,,,,0.0,0.00,21.5,0.00,,,,,,,
243062,243062,,Transmission,Mk10,1,18:00:00 19-Aug-2023,19:00:00 19-Aug-2023,,,,0.0,0.00,27.0,0.25,8.3,0.00,20.4,0.00,,,
243062,243062,,Transmission,Mk10,1,20:00:00 19-Aug-2023,21:00:00 19-Aug-2023,,,,,,,,8.3,0.00,20.5,0.00,,,
243062,243062,,Transmission,Mk10,1,21:00:00 19-Aug-2023,22:00:00 19-Aug-2023,,,,0.0,0.00,21.5,0.00,8.3,0.00,20.3,0.00,,,
243062,243062,,Transmission,Mk10,1,22:00:00 19-Aug-2023,23:00:00 19-Aug-2023,,,,,,,,8.1,0.00,20.3,0.00,,,
243062,243062,,Transmission,Mk10,1,00:00:00 22-Aug-2023,01:00:00 22-Aug-2023,,,,,,,,8.1,0.00,21.6,0.00,,,
243062,243062,,Transmission,Mk10,1,01:00:00 22-Aug-2023,02:00:00 22-Aug-2023,,,,,,,,19.4,0.00,21.8,0.00,,,
243062,243062,,Transmission,Mk10,1,02:00:00 22-Aug-2023,03:00:00 22-Aug-2023,,,,,,,,20.4,0.00,21.3,0.00,,,
243062,243062,,Transmission,Mk10,1,03:00:00 22-Aug-2023,04:00:00 22-Aug-2023,,,,,,,,20.4,0.00,21.0,0.00,,,
243062,243062,,Transmission,Mk10,3,04:00:00 22-Aug-2023,05:00:00 22-Aug-2023,,,,0.0,0.00,3.0,0.00,,,,,,,
243062,243062,,Transmission,Mk10,2,07:00:00 22-Aug-2023,08:00:00 22-Aug-2023,,,,0.0,0.00,14.0,0.00,,,,,,,
243062,243062,,Transmission,Mk10,1,08:00:00 22-Aug-2023,09:00:00 22-Aug-2023,,,,0.0,0.00,17.0,0.00,,,,,,,
243062,243062,,Transmission,Mk10,1,09:00:00 22-Aug-2023,10:00:00 22-Aug-2023,,,,,,,,9.6,0.00,20.3,0.00,,,
243062,243062,,Transmission,Mk10,1,10:00:00 22-Aug-2023,11:00:00 22-Aug-2023,,,,0.0,0.00,18.5,0.00,9.3,0.00,19.8,0.00,,,
243062,243062,,Transmission,Mk10,1,11:00:00 22-Aug-2023,12:00:00 22-Aug-2023,,,,,,,,9.4,0.00,20.0,0.00,,,
243062,243062,,Transmission,Mk10,1,14:00:00 22-Aug-2023,15:00:00 22-Aug-2023,,,,0.0,0.00,29.0,0.25,,,,,,,
243062,243062,,Transmission,Mk10,1,19:00:00 22-Aug-2023,20:00:00 22-Aug-2023,,,,,,,,7.9,0.00,20.1,0.00,,,
243062,243062,,Transmission,Mk10,3,21:00:00 22-Aug-2023,22:00:00 22-Aug-2023,,,,0.0,0.00,14.0,0.00,10.3,0.00,20.4,0.00,,,
243062,243062,,Transmission,Mk10,3,22:00:00 22-Aug-2023,23:00:00 22-Aug-2023,,,,0.0,0.00,19.5,0.00,8.9,0.00,20.3,0.00,,,
243062,243062,,Transmission,Mk10,1,09:00:00 25-Aug-2023,10:00:00 25-Aug-2023,,,,,,,,9.4,0.00,20.3,0.00,,,
