DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature,MaxDepth,LLRangeToday,DeployStart,FirstPostReleaseTX,upright,SWBuild
243062,243062,,Mk10,,12:30:00 11-Aug-2023,12:30:00 11-Aug-2023,0,A,42.0866,-70.1874,CRC,0,0,,,,1.000,0.360,,0.0,28.0,0,,,,,,,,,,,184,17,255,80,,,,,,,,156,55,0,,,,,,,,,,
243062,243062,,Mk10,,15:33:19 11-Aug-2023,15:33:20 11-Aug-2023,1,1,42.1152,-70.1304,CRC,0,0,,,,1.000,0.216,,0.0,28.0,0,,,,,,,,,,,255,17,255,80,,,,,,,,164,60,0,,,,,,,,,,
243062,243062,,Mk10,,00:09:57 12-Aug-2023,00:09:58 12-Aug-2023,1,3,42.1197,-70.2911,CRC,0,0,,,,0.992,0.200,,0.5,24.0,0,,,,,,,,,,,131,16,255,80,,,,,,,,188,76,0,,,,,,,,,,
243062,243062,,Mk10,,,12:21:27 12-Aug-2023,,0,42.0826,-70.0717,CRC,0,0,,1760,3.376,1.000,0.204,18.90,0.5,24.0,0,,,,,,,,,,,117,16,255,80,,,,,,,,221,99,0,,,,,,,,,,
243062,243062,,Mk10,,,16:56:50 13-Aug-2023,,0,42.1028,-70.2479,CRC,0,0,,2336,3.376,1.000,0.204,20.90,0.0,28.0,0,,,,,,,,,,,109,16,255,80,,,,,,,,292,136,0,,,,,,,,,,
243062,243062,,Mk10,,,15:18:50 14-Aug-2023,,1,42.1067,-70.1045,CRC,0,0,,2720,3.376,1.000,0.276,19.90,0.5,22.0,0,,,,,,,,,,,180,16,255,80,,,,,,,,353,176,0,,,,,,,,,,
243062,243062,,Mk10,,17:54:13 14-Aug-2023,17:54:14 14-Aug-2023,1,0,42.0914,-70.1940,CRC,0,0,,,,1.000,0.264,,0.0,22.0,0,,,,,,,,,,,156,16,255,80,,,,,,,,358,176,0,,,,,,,,,,
243062,243062,,Mk10,,,22:37:54 14-Aug-2023,,A,42.1250,-70.2351,,0,0,,14466,3.312,,,39.90,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
243062,243062,,Mk10,,,22:43:02 14-Aug-2023,,B,42.1295,-70.2331,CRC,0,0,,2848,3.440,0.992,0.268,20.30,0.0,22.0,0,,,,,,,,,,,130,16,255,80,,,,,,,,372,187,0,,,,,,,,,,
243062,243062,,Mk10,,,14:52:02 16-Aug-2023,,0,42.2670,-70.3018,CRC,0,0,,3616,3.376,1.000,0.268,19.30,0.5,28.0,0,,,,,,,,,,,226,16,255,80,,,,,,,,474,250,0,,,,,,,,,,
243062,243062,,Mk10,,,12:58:17 17-Aug-2023,,0,42.0333,-70.1825,CRC,0,0,,4064,3.440,1.000,0.192,19.10,0.0,24.0,0,,,,,,,,,,,250,15,255,80,,,,,,,,525,272,0,,,,,,,,,,
243062,243062,,Mk10,,04:11:32 18-Aug-2023,04:11:33 18-Aug-2023,1,B,42.1377,-70.2558,CRC,0,0,,,,1.000,0.188,,0.5,26.0,0,,,,,,,,,,,211,15,255,80,,,,,,,,561,288,0,,,,,,,,,,
243062,243062,,Mk10,,,14:23:39 18-Aug-2023,,0,42.0819,-70.2289,,0,0,,4576,3.440,0.984,0.180,20.10,77.0,1862.0,19,,,,,,,,,,,,34,151,35,40705,,,,,,,,,0,,,,,,,,,,
243062,243062,,Mk10,,23:14:45 18-Aug-2023,23:14:46 18-Aug-2023,1,A,42.1044,-70.2933,CRC,0,0,,,,1.000,0.168,,0.0,26.0,0,,,,,,,,,,,241,15,255,80,,,,,,,,610,315,0,,,,,,,,,,
243062,243062,,Mk10,,,10:59:23 19-Aug-2023,,A,42.1488,-70.2042,CRC,0,0,,5024,3.312,1.000,0.368,19.50,0.5,30.0,0,,,,,,,,,,,221,15,255,80,,,,,,,,640,332,0,,,,,,,,,,
243062,243062,,Mk10,,,22:26:45 21-Aug-2023,,A,42.5422,-70.1120,CRC,0,0,,6112,3.504,1.000,0.164,21.00,0.0,30.0,0,,,,,,,,,,,255,15,255,80,,,,,,,,797,436,0,,,,,,,,,,
243062,243062,,Mk10,,,03:22:01 22-Aug-2023,,A,42.6103,-70.0560,CRC,0,0,,6240,3.440,0.992,0.368,20.60,0.5,30.0,0,,,,,,,,,,,88,15,255,80,,,,,,,,812,448,0,,,,,,,,,,
243062,243062,,Mk10,,,22:02:47 22-Aug-2023,,A,42.4438,-70.0399,CRC,0,0,,6752,3.376,0.992,0.372,20.10,0.5,30.0,0,,,,,,,,,,,216,15,255,80,,,,,,,,867,487,0,,,,,,,,,,
243062,243062,,Mk10,,,00:48:34 24-Aug-2023,,A,42.5343,-70.0146,CRC,0,0,,7328,3.440,1.000,0.188,20.20,0.5,40.0,0,,,,,,,,,,,190,15,255,80,,,,,,,,949,552,0,,,,,,,,,,
243062,243062,,Mk10,,,09:51:37 24-Aug-2023,,B,42.5508,-69.9501,CRC,0,0,,7520,3.376,0.992,0.328,19.80,0.5,40.0,0,,,,,,,,,,,229,15,255,80,,,,,,,,977,575,0,,,,,,,,,,
