"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"",243064,17552,44.84225,-79.70013,A,10/12/2023 15:02:14,Argos,0,41,MC,,401677436.99,10/12/2023 15:01:53,1,3,3,-112,401677436.99,-79.70013,44.84225,,,66,3,579,12238,27,106,1119,223,188,14,152,236,202,176,15,15,15,15,15,15,15,15,15,6,205,221,204,213,175,207,10,172,242,159,135,45,16,42,
"",243064,17552,48.74417,-98.92856,2,10/12/2023 15:03:40,Argos,0,363,NP,,401677436.99,10/12/2023 15:01:53,1,4,0,-126,401677436.99,-98.92856,48.74417,,,60,0,464,2504,85,50,1304,223,188,14,152,236,202,176,15,15,15,15,15,15,15,15,15,6,205,221,204,15,61,220,130,170,220,199,102,27,4,130,
"",243064,17552,44.84225,-79.70013,A,10/12/2023 15:02:14,Argos,0,41,MC,,401677436.99,10/12/2023 15:02:17,1,3,3,-112,401677436.99,-79.70013,44.84225,,,66,3,579,12238,27,106,1119,63,101,142,152,224,86,129,64,52,129,0,,,,,,,,,,,,,,,,,,,,,
"",243064,17552,48.74417,-98.92856,2,10/12/2023 15:03:40,Argos,0,363,NP,,401677436.99,10/12/2023 15:02:17,1,4,0,-126,401677436.99,-98.92856,48.74417,,,60,0,464,2504,85,50,1304,63,101,142,152,224,86,129,64,52,129,0,,,,,,,,,,,,,,,,,,,,,
"",243064,17552,44.84225,-79.70013,A,10/12/2023 15:02:14,Argos,0,41,MC,,401677436.99,10/12/2023 15:02:35,1,3,3,-112,401677436.99,-79.70013,44.84225,,,66,3,579,12238,27,106,1119,4,180,86,240,149,3,80,50,215,242,32,5,0,80,88,89,64,0,3,49,219,128,2,2,223,216,23,,,,,
"",243064,17552,48.74417,-98.92856,2,10/12/2023 15:03:40,Argos,0,363,NP,,401677436.99,10/12/2023 15:02:35,1,4,0,-126,401677436.99,-98.92856,48.74417,,,60,0,464,2504,85,50,1304,4,180,86,240,149,3,80,50,215,242,32,5,0,80,88,89,70,0,3,53,154,145,173,13,219,27,221,,,,,
"",243064,17552,48.74417,-98.92856,2,10/12/2023 15:03:40,Argos,0,363,NP,,401677436.99,10/12/2023 15:07:56,1,4,0,-126,401677436.99,-98.92856,48.74417,,,60,0,464,2504,85,50,1304,219,66,190,152,232,3,233,60,44,52,47,52,191,57,161,154,117,130,197,228,249,128,105,133,61,171,119,97,193,221,125,
"",243064,17552,48.19008,-98.72501,Z,10/12/2023 15:24:40,Argos,0,30,NN,,401674620.5,10/12/2023 15:24:25,1,2,0,-122,401674620.5,-98.72501,48.19008,,,31,1,768,1290,457,69,2169,223,188,14,152,236,202,176,15,15,15,15,15,15,15,62,156,158,205,126,236,135,78,198,50,51,93,81,21,130,28,212,
"",243064,17552,48.19008,-98.72501,Z,10/12/2023 15:24:40,Argos,0,30,NN,,401674620.5,10/12/2023 15:24:56,1,2,0,-122,401674620.5,-98.72501,48.19008,,,31,1,768,1290,457,69,2169,63,101,142,136,236,86,69,178,250,69,255,,,,,,,,,,,,,,,,,,,,,
"",243064,17552,42.91331,-69.1806,A,10/12/2023 17:05:04,Argos,0,39,NN,,401677497.15,10/12/2023 17:04:44,1,3,0,-133,401677497.15,-69.1806,42.91331,-69.1806,42.91331,6,3,15920,43237,5861,110,3217,4,6,153,21,99,85,40,90,162,182,122,187,133,48,84,216,191,144,144,185,56,117,197,63,54,22,54,,,,,
