DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
243064,243064,Mk10,DS,3,0,2,21,18,15:02:14 12-Oct-2023,MC,A,44.8423,-79.7001,,,66,,401677436,-112
243064,243064,Mk10,DS,4,0,3,121,18,15:03:40 12-Oct-2023,NP,2,48.7442,-98.9286,,,60,,401677436,-126
243064,243064,Mk10,DS,2,0,2,31,31,15:24:40 12-Oct-2023,NN,Z,48.1901,-98.7250,,,31,,401674620,-122
243064,243064,Mk10,DS,3,0,2,19,16,17:05:04 12-Oct-2023,NN,A,42.9133,-69.1806,42.9133,-69.1806,6,,401677497,-133
243064,243064,Mk10,DS,1,0,0,,,20:34:52 12-Oct-2023,CS,B,42.8318,-69.0586,42.8318,-69.0586,8,,401677418,-139
243064,243064,Mk10,DS,1,0,1,,,21:50:58 12-Oct-2023,SR,B,42.7905,-69.0520,42.7905,-69.0520,6,,401677465,-132
243064,243064,Mk10,DS,1,0,0,,,22:11:58 12-Oct-2023,CS,B,42.7577,-68.9454,42.7577,-68.9454,6,,401677391,-124
243064,243064,Mk10,DS,2,0,1,75,75,23:12:14 12-Oct-2023,NP,B,42.6824,-69.0310,42.6824,-69.0310,8,,401677344,-135
243064,243064,Mk10,DS,5,0,1,111,14,23:30:27 12-Oct-2023,SR,0,42.7104,-68.4393,42.7104,-68.4393,46,,401677456,-129
243064,243064,Mk10,DS,3,0,1,18,15,23:39:47 12-Oct-2023,A1,A,42.6987,-68.4961,42.6987,-68.4961,6,,401677432,-126
243064,243064,Mk10,DS,1,0,0,,,00:14:09 13-Oct-2023,NK,B,42.6859,-68.5062,42.6859,-68.5062,6,,401677458,-133
243064,243064,Mk10,DS,2,0,1,219,219,00:49:13 13-Oct-2023,NP,B,42.6150,-68.4812,42.6150,-68.4812,5,,401677510,-124
243064,243064,Mk10,DS,1,0,0,,,01:05:08 13-Oct-2023,NN,B,42.6154,-68.4807,42.6154,-68.4807,6,,401677515,-140
243064,243064,Mk10,DS,1,0,0,,,01:30:37 13-Oct-2023,MB,B,42.6408,-68.4927,42.6408,-68.4927,6,,401677556,-131
243064,243064,Mk10,DS,1,0,0,,,02:26:21 13-Oct-2023,MC,B,42.5854,-68.4940,42.5854,-68.4940,8,,401677555,-118
243064,243064,Mk10,DS,1,0,0,,,02:48:17 13-Oct-2023,NN,B,42.5721,-68.4994,42.5721,-68.4994,6,,401677561,-127
243064,243064,Mk10,DS,1,0,1,,,04:46:06 13-Oct-2023,O3,B,42.5037,-68.4941,42.5037,-68.4941,8,,401677487,-135
243064,243064,Mk10,DS,1,0,1,,,15:06:11 13-Oct-2023,NN,B,42.7484,-68.5210,42.7484,-68.5210,8,,401677441,-137
243064,243064,Mk10,DS,4,0,2,54,45,16:44:15 13-Oct-2023,O3,0,42.6754,-69.0474,42.6754,-69.0474,48,,401677460,-122
