DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep
243064,243064,,Transmission,Mk10,1,16:21:00 12-Oct-2023,16:53:22 12-Oct-2023,Message,10,,,,1932.000000,1952.000000,,
243064,243064,,Transmission,Mk10,1,16:21:00 12-Oct-2023,16:26:34 12-Oct-2023,Dive,1,V,59.0,60.5,333,335,,
243064,243064,,Transmission,Mk10,1,16:26:34 12-Oct-2023,16:27:52 12-Oct-2023,Surface,,,,,77,79,78,0
243064,243064,,Transmission,Mk10,1,16:27:52 12-Oct-2023,16:31:30 12-Oct-2023,Dive,1,Square,17.5,17.5,217,219,,
243064,243064,,Transmission,Mk10,1,16:31:30 12-Oct-2023,16:32:02 12-Oct-2023,Surface,,,,,31,33,32,0
243064,243064,,Transmission,Mk10,1,16:32:02 12-Oct-2023,16:38:36 12-Oct-2023,Dive,1,Square,52.5,53.0,393,395,,
243064,243064,,Transmission,Mk10,1,16:38:36 12-Oct-2023,16:40:18 12-Oct-2023,Surface,,,,,101,103,102,0
243064,243064,,Transmission,Mk10,1,16:40:18 12-Oct-2023,16:45:56 12-Oct-2023,Dive,1,Square,53.5,54.0,337,339,,
243064,243064,,Transmission,Mk10,1,16:45:56 12-Oct-2023,16:47:46 12-Oct-2023,Surface,,,,,109,111,110,0
243064,243064,,Transmission,Mk10,1,16:47:46 12-Oct-2023,16:52:26 12-Oct-2023,Dive,1,U,59.0,60.5,279,281,,
243064,243064,,Transmission,Mk10,1,16:52:26 12-Oct-2023,16:53:22 12-Oct-2023,Surface,,,,,55,57,54,2
243064,243064,,Transmission,Mk10,1,16:53:00 12-Oct-2023,17:40:14 12-Oct-2023,Message,10,,,,2824.000000,2844.000000,,
243064,243064,,Transmission,Mk10,1,16:53:00 12-Oct-2023,17:02:18 12-Oct-2023,Dive,1,Square,61.0,62.5,557,559,,
243064,243064,,Transmission,Mk10,1,17:02:18 12-Oct-2023,17:04:50 12-Oct-2023,Surface,,,,,151,153,152,0
243064,243064,,Transmission,Mk10,1,17:04:50 12-Oct-2023,17:10:14 12-Oct-2023,Dive,1,Square,57.0,58.5,323,325,,
243064,243064,,Transmission,Mk10,1,17:10:14 12-Oct-2023,17:11:38 12-Oct-2023,Surface,,,,,83,85,84,0
243064,243064,,Transmission,Mk10,1,17:11:38 12-Oct-2023,17:19:58 12-Oct-2023,Dive,1,Square,59.0,60.5,499,501,,
243064,243064,,Transmission,Mk10,1,17:19:58 12-Oct-2023,17:22:02 12-Oct-2023,Surface,,,,,123,125,124,0
243064,243064,,Transmission,Mk10,1,17:22:02 12-Oct-2023,17:27:30 12-Oct-2023,Dive,1,U,51.5,52.0,327,329,,
243064,243064,,Transmission,Mk10,1,17:27:30 12-Oct-2023,17:28:44 12-Oct-2023,Surface,,,,,73,75,74,0
243064,243064,,Transmission,Mk10,1,17:28:44 12-Oct-2023,17:37:42 12-Oct-2023,Dive,1,Square,52.5,53.0,537,539,,
243064,243064,,Transmission,Mk10,1,17:37:42 12-Oct-2023,17:40:14 12-Oct-2023,Surface,,,,,151,153,152,0
243064,243064,,Transmission,Mk10,1,20:02:00 12-Oct-2023,20:30:12 12-Oct-2023,Message,10,,,,1682.000000,1702.000000,,
243064,243064,,Transmission,Mk10,1,20:02:00 12-Oct-2023,20:05:50 12-Oct-2023,Dive,1,Square,13.0,13.0,229,231,,
243064,243064,,Transmission,Mk10,1,20:05:50 12-Oct-2023,20:06:02 12-Oct-2023,Surface,,,,,11,13,12,0
243064,243064,,Transmission,Mk10,1,20:06:02 12-Oct-2023,20:12:22 12-Oct-2023,Dive,1,V,57.0,58.5,379,381,,
243064,243064,,Transmission,Mk10,1,20:12:22 12-Oct-2023,20:13:52 12-Oct-2023,Surface,,,,,89,91,90,0
243064,243064,,Transmission,Mk10,1,20:13:52 12-Oct-2023,20:17:46 12-Oct-2023,Dive,1,V,24.5,25.0,233,235,,
243064,243064,,Transmission,Mk10,1,20:17:46 12-Oct-2023,20:18:44 12-Oct-2023,Surface,,,,,57,59,58,0
243064,243064,,Transmission,Mk10,1,20:18:44 12-Oct-2023,20:24:14 12-Oct-2023,Dive,1,U,31.5,32.0,329,331,,
243064,243064,,Transmission,Mk10,1,20:24:14 12-Oct-2023,20:25:18 12-Oct-2023,Surface,,,,,63,65,64,0
243064,243064,,Transmission,Mk10,1,20:25:18 12-Oct-2023,20:29:06 12-Oct-2023,Dive,1,U,29.5,30.0,227,229,,
243064,243064,,Transmission,Mk10,1,20:29:06 12-Oct-2023,20:30:12 12-Oct-2023,Surface,,,,,65,67,66,0
243064,243064,,Transmission,Mk10,1,20:30:00 12-Oct-2023,20:59:00 12-Oct-2023,Message,10,,,,1730.000000,1750.000000,,
243064,243064,,Transmission,Mk10,1,20:30:00 12-Oct-2023,20:33:16 12-Oct-2023,Dive,1,Square,14.5,14.5,195,197,,
243064,243064,,Transmission,Mk10,1,20:33:16 12-Oct-2023,20:34:22 12-Oct-2023,Surface,,,,,65,67,66,0
243064,243064,,Transmission,Mk10,1,20:34:22 12-Oct-2023,20:39:42 12-Oct-2023,Dive,1,V,22.0,22.0,319,321,,
243064,243064,,Transmission,Mk10,1,20:39:42 12-Oct-2023,20:40:36 12-Oct-2023,Surface,,,,,53,55,54,0
243064,243064,,Transmission,Mk10,1,20:40:36 12-Oct-2023,20:45:28 12-Oct-2023,Dive,1,V,63.0,64.5,291,293,,
243064,243064,,Transmission,Mk10,1,20:45:28 12-Oct-2023,20:46:34 12-Oct-2023,Surface,,,,,65,67,66,0
243064,243064,,Transmission,Mk10,1,20:46:34 12-Oct-2023,20:50:30 12-Oct-2023,Dive,1,U,32.5,33.0,235,237,,
243064,243064,,Transmission,Mk10,1,20:50:30 12-Oct-2023,20:51:24 12-Oct-2023,Surface,,,,,53,55,54,0
243064,243064,,Transmission,Mk10,1,20:51:24 12-Oct-2023,20:57:20 12-Oct-2023,Dive,1,U,44.5,45.0,355,357,,
243064,243064,,Transmission,Mk10,1,20:57:20 12-Oct-2023,20:59:00 12-Oct-2023,Surface,,,,,99,101,100,0
243064,243064,,Transmission,Mk10,1,23:27:00 12-Oct-2023,00:09:44 13-Oct-2023,Message,10,,,,2554.000000,2574.000000,,
243064,243064,,Transmission,Mk10,1,23:27:00 12-Oct-2023,23:31:10 12-Oct-2023,Dive,1,V,25.5,26.0,249,251,,
243064,243064,,Transmission,Mk10,1,23:31:10 12-Oct-2023,23:34:00 12-Oct-2023,Surface,,,,,169,171,88,82
243064,243064,,Transmission,Mk10,1,23:34:00 12-Oct-2023,23:39:00 12-Oct-2023,Dive,1,V,28.5,29.0,299,301,,
243064,243064,,Transmission,Mk10,1,23:39:00 12-Oct-2023,23:44:12 12-Oct-2023,Surface,,,,,311,313,141,171
243064,243064,,Transmission,Mk10,1,23:44:12 12-Oct-2023,23:52:20 12-Oct-2023,Dive,1,U,15.0,15.0,487,489,,
243064,243064,,Transmission,Mk10,1,23:52:20 12-Oct-2023,23:53:02 12-Oct-2023,Surface,,,,,41,43,42,0
243064,243064,,Transmission,Mk10,1,23:53:02 12-Oct-2023,00:02:04 13-Oct-2023,Dive,1,U,27.5,28.0,541,543,,
243064,243064,,Transmission,Mk10,1,00:02:04 13-Oct-2023,00:03:16 13-Oct-2023,Surface,,,,,71,73,72,0
243064,243064,,Transmission,Mk10,1,00:03:16 13-Oct-2023,00:08:06 13-Oct-2023,Dive,1,V,36.5,37.0,289,291,,
243064,243064,,Transmission,Mk10,1,00:08:06 13-Oct-2023,00:09:44 13-Oct-2023,Surface,,,,,97,99,82,16
