DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
243064,243064,Mk10,15:01:53 12-Oct-2023,,,A,44.8423,-79.7001,CRC 64448.40353,14:00:00 12-Oct-2023,TimeSeries,223,188,14,152,236,202,176,15,15,15,15,15,15,15,15,15,6,205,221,204,213,175,207,10,172,242,159,135,45,16,42,
243064,243064,Mk10,15:02:35 12-Oct-2023,,,A,44.8423,-79.7001,CRC 12763.32646,15:02:35 12-Oct-2023,Status,4,180,86,240,149,3,80,50,215,242,32,5,0,80,88,89,64,0,3,49,219,128,2,2,223,216,23,,,,,
243064,243064,Mk10,15:01:53 12-Oct-2023,,,2,48.7442,-98.9286,CRC 64448.51398,14:00:00 12-Oct-2023,TimeSeries,223,188,14,152,236,202,176,15,15,15,15,15,15,15,15,15,6,205,221,204,15,61,220,130,170,220,199,102,27,4,130,
243064,243064,Mk10,15:02:35 12-Oct-2023,,,2,48.7442,-98.9286,CRC 13722.56541,15:02:35 12-Oct-2023,Status,4,180,86,240,149,3,80,50,215,242,32,5,0,80,88,89,70,0,3,53,154,145,173,13,219,27,221,,,,,
243064,243064,Mk10,15:07:56 12-Oct-2023,,,2,48.7442,-98.9286,CRC 46123.11049,14:00:00 12-Oct-2023,TimeSeries,219,66,190,152,232,3,233,60,44,52,47,52,191,57,161,154,117,130,197,228,249,128,105,133,61,171,119,97,193,221,125,
243064,243064,Mk10,15:24:25 12-Oct-2023,,,Z,48.1901,-98.7250,CRC 64448.32741,14:00:00 12-Oct-2023,TimeSeries,223,188,14,152,236,202,176,15,15,15,15,15,15,15,62,156,158,205,126,236,135,78,198,50,51,93,81,21,130,28,212,
243064,243064,Mk10,15:24:56 12-Oct-2023,,,Z,48.1901,-98.7250,CRC 63064.60453,14:00:00 04-Oct-2023,DiveDepth,63,101,142,136,236,86,69,178,250,69,255,,,,,,,,,,,,,,,,,,,,,
243064,243064,Mk10,17:04:44 12-Oct-2023,,,A,42.9133,-69.1806,CRC 21800.30825,17:21:35 12-Oct-2023,Status,4,6,153,21,99,85,40,90,162,182,122,187,133,48,84,216,191,144,144,185,56,117,197,63,54,22,54,,,,,
243064,243064,Mk10,17:05:07 12-Oct-2023,,,A,42.9133,-69.1806,CRC 64448.23208,14:00:00 12-Oct-2023,TimeSeries,223,188,14,152,236,202,176,15,15,15,15,15,15,15,15,15,6,205,221,204,213,175,207,10,172,242,159,7,45,144,33,
243064,243064,Mk10,21:50:59 12-Oct-2023,,,B,42.7905,-69.0520,CRC 10679.18435,16:00:00 12-Oct-2023,TimeSeries,210,155,126,153,8,0,110,67,46,236,15,50,3,42,4,46,249,194,97,170,235,105,215,75,168,117,105,62,114,132,190,
243064,243064,Mk10,23:11:37 12-Oct-2023,,,B,42.6824,-69.0310,CRC 54831.19492,18:00:00 12-Oct-2023,DiveDepth,61,98,254,153,34,108,130,132,128,4,136,,,,,,,,,,,,,,,,,,,,,
243064,243064,Mk10,23:34:22 12-Oct-2023,,,0,42.7104,-68.4393,CRC 3900.39209,18:10:40 12-Oct-2023,Fast-GPS,112,243,206,153,36,170,20,66,66,67,254,221,221,144,82,244,140,109,23,29,45,231,128,,,,,,,,,
243064,243064,Mk10,23:39:46 12-Oct-2023,,,A,42.6987,-68.4961,CRC 44119.58508,16:00:00 12-Oct-2023,TimeSeries,218,197,126,153,12,198,173,127,51,68,253,50,191,52,142,243,48,207,139,203,64,81,219,51,26,84,1,62,92,170,57,
243064,243064,Mk10,00:52:53 13-Oct-2023,,,B,42.6150,-68.4812,CRC 9298.58899,20:00:00 12-Oct-2023,TimeSeries,210,69,46,153,72,0,140,29,221,183,118,128,34,89,34,238,6,41,66,28,34,93,1,159,228,46,148,98,183,4,63,
243064,243064,Mk10,04:46:06 13-Oct-2023,,,B,42.5037,-68.4941,CRC 31362.8199,15:51:00 12-Oct-2023,Behavior,183,168,46,152,252,193,34,186,130,0,9,105,68,13,128,82,9,32,136,2,4,66,3,97,17,133,192,36,65,128,3,
243064,243064,Mk10,15:06:12 13-Oct-2023,,,B,42.7484,-68.5210,CRC 27865.65507,19:00:00 13-Jun-2022,TAT,166,205,153,155,51,51,50,102,89,147,207,3,194,192,56,1,153,153,153,147,49,222,238,68,117,52,55,87,184,50,255,
243064,243064,Mk10,16:44:32 13-Oct-2023,,,0,42.6754,-69.0474,CRC 49397.57589,15:00:00 13-Oct-2023,TAD,28,15,94,154,248,34,119,131,1,129,131,5,12,128,0,,,,,,,,,,,,,,,,,
243064,243064,Mk10,16:45:42 13-Oct-2023,,,0,42.6754,-69.0474,CRC 3900.36677,18:10:40 12-Oct-2023,Fast-GPS,112,243,206,153,36,170,20,66,66,67,254,214,171,84,0,198,147,132,252,153,69,127,128,,,,,,,,,
