Prog,PTT,Len,Satellite,Class,Pass,PassDate,PassTime,Latitude,Longitude,Comment,Frequency,Power,IQ,Dups,MsgDate,MsgTime,Latitude2,Longitude2,Duration,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,SENSOR #01,SENSOR #02,SENSOR #03,SENSOR #04,SENSOR #05,SENSOR #06,SENSOR #07,SENSOR #08,SENSOR #09,SENSOR #10,SENSOR #11,SENSOR #12,SENSOR #13,SENSOR #14,SENSOR #15,SENSOR #16,SENSOR #17,SENSOR #18,SENSOR #19,SENSOR #20,SENSOR #21,SENSOR #22,SENSOR #23,SENSOR #24,SENSOR #25,SENSOR #26,SENSOR #27,SENSOR #28,SENSOR #29,SENSOR #30,SENSOR #31,SENSOR #32
17552,243064,31,MC,A,1,12-Oct-2023,15:02:14,44.8423,-79.7001,,401677436,-112,66,0,12-Oct-2023,15:01:53,,,42,579,12238,27,106,,,223,188,14,152,236,202,176,15,15,15,15,15,15,15,15,15,6,205,221,204,213,175,207,10,172,242,159,135,45,16,42,
17552,243064,11,MC,A,1,12-Oct-2023,15:02:14,44.8423,-79.7001,,401677436,-112,66,0,12-Oct-2023,15:02:17,,,42,579,12238,27,106,,,63,101,142,152,224,86,129,64,52,129,0,,,,,,,,,,,,,,,,,,,,,
17552,243064,27,MC,A,1,12-Oct-2023,15:02:14,44.8423,-79.7001,,401677436,-112,66,0,12-Oct-2023,15:02:35,,,42,579,12238,27,106,,,4,180,86,240,149,3,80,50,215,242,32,5,0,80,88,89,64,0,3,49,219,128,2,2,223,216,23,,,,,
17552,243064,31,NP,2,2,12-Oct-2023,15:03:40,48.7442,-98.9286,,401677436,-126,60,0,12-Oct-2023,15:01:53,,,363,464,2504,85,50,,,223,188,14,152,236,202,176,15,15,15,15,15,15,15,15,15,6,205,221,204,15,61,220,130,170,220,199,102,27,4,130,
17552,243064,11,NP,2,2,12-Oct-2023,15:03:40,48.7442,-98.9286,,401677436,-126,60,0,12-Oct-2023,15:02:17,,,363,464,2504,85,50,,,63,101,142,152,224,86,129,64,52,129,0,,,,,,,,,,,,,,,,,,,,,
17552,243064,27,NP,2,2,12-Oct-2023,15:03:40,48.7442,-98.9286,,401677436,-126,60,0,12-Oct-2023,15:02:35,,,363,464,2504,85,50,,,4,180,86,240,149,3,80,50,215,242,32,5,0,80,88,89,70,0,3,53,154,145,173,13,219,27,221,,,,,
17552,243064,31,NP,2,2,12-Oct-2023,15:03:40,48.7442,-98.9286,,401677436,-126,60,0,12-Oct-2023,15:07:56,,,363,464,2504,85,50,,,219,66,190,152,232,3,233,60,44,52,47,52,191,57,161,154,117,130,197,228,249,128,105,133,61,171,119,97,193,221,125,
17552,243064,31,NN,Z,3,12-Oct-2023,15:24:40,48.1901,-98.7250,,401674620,-122,31,0,12-Oct-2023,15:24:25,,,31,768,1290,457,69,,,223,188,14,152,236,202,176,15,15,15,15,15,15,15,62,156,158,205,126,236,135,78,198,50,51,93,81,21,130,28,212,
17552,243064,11,NN,Z,3,12-Oct-2023,15:24:40,48.1901,-98.7250,,401674620,-122,31,0,12-Oct-2023,15:24:56,,,31,768,1290,457,69,,,63,101,142,136,236,86,69,178,250,69,255,,,,,,,,,,,,,,,,,,,,,
17552,243064,27,NN,A,4,12-Oct-2023,17:05:04,42.9133,-69.1806,,401677497,-133,6,0,12-Oct-2023,17:04:44,42.9133,-69.1806,39,15920,43237,5861,110,,,4,6,153,21,99,85,40,90,162,182,122,187,133,48,84,216,191,144,144,185,56,117,197,63,54,22,54,,,,,
