DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
BOF1,267425,Mk10,DS,10,9,0,,,17:28:21 24-Jul-2024,O3,3,44.9040,-66.9874,44.9040,-66.9874,60,,401677505,-131
BOF1,267425,Mk10,DS,6,1,0,,,19:19:06 24-Jul-2024,CS,1,44.9055,-66.9644,44.9055,-66.9644,48,,401677485,-129
BOF1,267425,Mk10,DS,5,0,1,88,88,20:57:25 24-Jul-2024,CS,3,44.9013,-66.9939,44.9013,-66.9939,58,,401677481,-122
BOF1,267425,Mk10,DS,5,0,1,132,88,21:30:52 24-Jul-2024,SR,3,44.9027,-66.9843,44.9027,-66.9843,58,,401677479,-130
BOF1,267425,Mk10,DS,4,0,2,146,88,21:46:33 24-Jul-2024,A1,1,44.8997,-66.9820,44.8997,-66.9820,56,,401677478,-134
BOF1,267425,Mk10,DS,4,0,1,176,88,21:47:39 24-Jul-2024,NK,3,44.8996,-66.9836,44.8996,-66.9836,56,,401677480,-128
BOF1,267425,Mk10,DS,1,0,1,,,22:34:17 24-Jul-2024,CS,B,44.9010,-66.9799,44.9010,-66.9799,8,,401677484,-138
BOF1,267425,Mk10,DS,3,0,2,88,88,22:47:29 24-Jul-2024,MC,A,44.9027,-66.9813,44.9027,-66.9813,6,,401677482,-129
BOF1,267425,Mk10,DS,7,0,2,102,88,23:09:42 24-Jul-2024,SR,3,44.9023,-66.9830,44.9023,-66.9830,56,,401677480,-124
BOF1,267425,Mk10,DS,3,0,2,88,88,23:17:33 24-Jul-2024,A1,A,44.9021,-66.9840,44.9021,-66.9840,6,,401677479,-134
BOF1,267425,Mk10,DS,4,0,0,117,88,23:25:59 24-Jul-2024,NK,3,44.9038,-66.9874,44.9038,-66.9874,56,,401677479,-130
BOF1,267425,Mk10,DS,2,0,2,129,129,17:37:30 08-Aug-2024,O3,B,44.8935,-66.4470,44.8935,-66.4470,,,401677474,-132
BOF1,267425,Mk10,DS,1,0,0,,,18:20:59 08-Aug-2024,NN,B,44.8904,-66.4457,44.8904,-66.4457,8,,401677463,-137
BOF1,267425,Mk10,DS,1,0,1,,,20:40:25 08-Aug-2024,CS,B,44.8886,-66.4414,44.8886,-66.4414,8,,401677463,-136
BOF1,267425,Mk10,DS,1,0,1,,,21:43:22 08-Aug-2024,A1,B,44.8492,-66.4469,44.8492,-66.4469,6,,401677489,-141
BOF1,267425,Mk10,DS,4,0,2,87,17,21:56:36 08-Aug-2024,SR,0,44.8869,-66.4866,44.8869,-66.4866,46,,401677482,-127
BOF1,267425,Mk10,DS,2,0,0,71,71,21:58:25 08-Aug-2024,NK,B,44.8925,-66.4868,44.8925,-66.4868,6,,401677476,-129
BOF1,267425,Mk10,DS,3,0,0,16,16,22:14:23 08-Aug-2024,CS,A,44.8993,-66.4830,44.8993,-66.4830,6,,401677471,-132
BOF1,267425,Mk10,DS,3,0,1,146,17,23:11:47 08-Aug-2024,A1,A,44.8749,-66.4969,44.8749,-66.4969,8,,401677468,-139
BOF1,267425,Mk10,DS,2,0,0,61,61,23:44:21 08-Aug-2024,NK,B,44.8618,-66.5008,44.8618,-66.5008,8,,401677471,-135
BOF1,267425,Mk10,DS,3,0,1,188,41,23:45:24 08-Aug-2024,NP,A,44.8387,-66.5378,44.8387,-66.5378,6,,401677486,-131
BOF1,267425,Mk10,DS,2,0,1,272,272,00:13:23 09-Aug-2024,MC,B,44.8567,-66.5479,44.8567,-66.5479,6,,401677497,-132
BOF1,267425,Mk10,DS,1,0,0,,,01:34:41 09-Aug-2024,O3,B,44.8119,-66.5894,44.8119,-66.5894,8,,401677499,-138
BOF1,267425,Mk10,DS,1,0,0,,,01:34:41 09-Aug-2024,NP,B,44.8117,-66.5881,44.8117,-66.5881,,,401677503,-136
BOF1,267425,Mk10,DS,1,0,1,,,01:52:45 09-Aug-2024,MC,B,44.8170,-66.5750,44.8170,-66.5750,6,,401677477,-130
BOF1,267425,Mk10,DS,1,0,1,,,04:45:15 09-Aug-2024,O3,B,44.7277,-66.6519,44.7277,-66.6519,8,,401677484,-139
BOF1,267425,Mk10,DS,1,0,1,,,08:38:06 09-Aug-2024,CS,B,44.6832,-66.7188,44.6832,-66.7188,8,,401677473,-138
BOF1,267425,Mk10,DS,1,0,0,,,09:18:43 09-Aug-2024,SR,B,44.6791,-66.6666,44.6791,-66.6666,8,,401677445,-126
BOF1,267425,Mk10,DS,4,0,0,22,14,10:21:11 09-Aug-2024,CS,1,44.7997,-66.4201,44.7997,-66.4201,56,,401677479,-116
BOF1,267425,Mk10,DS,1,0,1,,,12:00:33 09-Aug-2024,CS,B,44.7930,-66.3382,44.7930,-66.3382,6,,401677520,-139
BOF1,267425,Mk10,DS,3,0,1,127,115,13:49:21 09-Aug-2024,NP,A,44.7868,-66.6686,44.7868,-66.6686,8,,401677597,-120
BOF1,267425,Mk10,DS,4,0,3,140,33,14:46:26 09-Aug-2024,NN,0,44.8203,-66.6348,44.8203,-66.6348,48,,401677482,-128
BOF1,267425,Mk10,DS,1,0,0,,,15:26:53 09-Aug-2024,NP,B,44.8256,-66.6398,44.8256,-66.6398,6,,401677500,-127
BOF1,267425,Mk10,DS,2,0,1,79,79,15:51:04 09-Aug-2024,MC,B,44.7706,-66.6610,44.7706,-66.6610,6,,401677486,-126
BOF1,267425,Mk10,DS,1,0,1,,,16:46:59 09-Aug-2024,O3,B,44.7791,-66.6602,44.7791,-66.6602,7,,401677500,-135
BOF1,267425,Mk10,DS,1,0,1,,,18:32:17 09-Aug-2024,O3,B,44.7902,-66.6613,44.7902,-66.6613,8,,401677501,-134
BOF1,267425,Mk10,DS,1,0,0,,,19:53:00 09-Aug-2024,CS,B,44.7789,-66.6655,44.7789,-66.6655,8,,401677479,-137
BOF1,267425,Mk10,DS,8,0,3,55,14,21:22:49 09-Aug-2024,SR,0,44.8648,-66.6088,44.8648,-66.6088,47,,401677500,-130
BOF1,267425,Mk10,DS,4,0,1,138,28,21:34:23 09-Aug-2024,NK,0,44.7848,-66.5311,44.7848,-66.5311,46,,401677500,-133
BOF1,267425,Mk10,DS,5,0,3,32,17,21:37:56 09-Aug-2024,CS,0,44.7767,-66.5436,44.7767,-66.5436,46,,401677481,-122
BOF1,267425,Mk10,DS,3,0,2,160,22,22:52:10 09-Aug-2024,A1,A,44.7719,-66.5277,44.7719,-66.5277,6,,401677514,-129
BOF1,267425,Mk10,DS,2,0,1,301,301,23:03:51 09-Aug-2024,SR,B,44.7346,-66.5564,44.7346,-66.5564,6,,401677499,-120
BOF1,267425,Mk10,DS,1,0,1,,,23:13:00 09-Aug-2024,NK,B,44.7315,-66.5437,44.7315,-66.5437,6,,401677503,-120
BOF1,267425,Mk10,DS,2,0,2,44,44,00:46:44 10-Aug-2024,MB,B,44.7306,-66.5470,44.7306,-66.5470,8,,401677511,-129
BOF1,267425,Mk10,DS,2,0,2,210,210,02:18:40 10-Aug-2024,NN,B,44.6597,-66.5841,44.6597,-66.5841,8,,401677512,-117
BOF1,267425,Mk10,DS,1,0,1,,,02:27:17 10-Aug-2024,O3,B,44.7250,-66.5409,44.7250,-66.5409,6,,401677510,-134
BOF1,267425,Mk10,DS,2,0,2,135,135,03:17:48 10-Aug-2024,MC,B,44.6995,-66.5975,44.6995,-66.5975,8,,401677517,-129
BOF1,267425,Mk10,DS,4,0,4,67,15,03:59:51 10-Aug-2024,NN,0,44.7907,-66.6275,44.7907,-66.6275,48,,401677493,-129
BOF1,267425,Mk10,DS,7,0,5,58,25,08:43:49 10-Aug-2024,SR,1,44.8570,-66.4886,44.8570,-66.4886,48,,401677482,-119
BOF1,267425,Mk10,DS,7,0,3,52,24,09:28:16 10-Aug-2024,A1,1,44.8848,-66.5054,44.8848,-66.5054,48,,401677476,-124
BOF1,267425,Mk10,DS,4,0,2,108,17,10:25:51 10-Aug-2024,SR,0,44.8694,-66.4170,44.8694,-66.4170,56,,401677506,-129
BOF1,267425,Mk10,DS,1,0,1,,,11:21:32 10-Aug-2024,CS,B,44.8904,-66.3973,44.8904,-66.3973,8,,401677482,-132
BOF1,267425,Mk10,DS,1,0,1,,,11:26:31 10-Aug-2024,NK,B,44.8863,-66.3936,44.8863,-66.3936,6,,401677513,-127
BOF1,267425,Mk10,DS,1,0,1,,,12:56:20 10-Aug-2024,MB,B,44.9157,-66.3679,44.9157,-66.3679,8,,401677494,-136
BOF1,267425,Mk10,DS,1,0,1,,,13:12:24 10-Aug-2024,NK,B,44.9063,-66.3774,44.9063,-66.3774,6,,401677486,-135
BOF1,267425,Mk10,DS,6,0,3,71,20,13:33:18 10-Aug-2024,NP,2,44.7666,-66.6347,44.7666,-66.6347,56,,401677502,-131
BOF1,267425,Mk10,DS,6,0,3,87,19,13:48:37 10-Aug-2024,MC,1,44.7843,-66.6641,44.7843,-66.6641,46,,401677500,-115
BOF1,267425,Mk10,DS,4,0,3,147,26,14:30:08 10-Aug-2024,NN,1,44.8459,-66.7029,44.8459,-66.7029,58,,401677488,-129
BOF1,267425,Mk10,DS,6,0,5,83,17,14:36:54 10-Aug-2024,MB,1,44.7883,-66.6783,44.7883,-66.6783,56,,401677488,-128
