DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep
BOF1,267425,,Transmission,Mk10,2,17:32:00 08-Aug-2024,18:26:42 08-Aug-2024,Message,11,,,,3271.000000,3293.000000,,
BOF1,267425,,Transmission,Mk10,2,17:32:00 08-Aug-2024,17:52:04 08-Aug-2024,Surface,,,,,1203,1205,233,971
BOF1,267425,,Transmission,Mk10,2,17:52:04 08-Aug-2024,17:55:20 08-Aug-2024,Dive,1,V,27.5,28.0,195,197,,
BOF1,267425,,Transmission,Mk10,2,17:55:20 08-Aug-2024,17:55:56 08-Aug-2024,Surface,,,,,35,37,36,0
BOF1,267425,,Transmission,Mk10,2,17:55:56 08-Aug-2024,17:59:34 08-Aug-2024,Dive,1,V,24.0,24.0,217,219,,
BOF1,267425,,Transmission,Mk10,2,17:59:34 08-Aug-2024,18:03:20 08-Aug-2024,Surface,,,,,225,227,117,109
BOF1,267425,,Transmission,Mk10,2,18:03:20 08-Aug-2024,18:10:20 08-Aug-2024,Dive,1,V,30.5,31.0,419,421,,
BOF1,267425,,Transmission,Mk10,2,18:10:20 08-Aug-2024,18:11:00 08-Aug-2024,Surface,,,,,39,41,40,0
BOF1,267425,,Transmission,Mk10,2,18:11:00 08-Aug-2024,18:15:24 08-Aug-2024,Dive,1,U,26.5,27.0,263,265,,
BOF1,267425,,Transmission,Mk10,2,18:15:24 08-Aug-2024,18:21:12 08-Aug-2024,Surface,,,,,347,349,146,202
BOF1,267425,,Transmission,Mk10,2,18:21:12 08-Aug-2024,18:25:48 08-Aug-2024,Dive,1,V,24.5,25.0,275,277,,
BOF1,267425,,Transmission,Mk10,2,18:25:48 08-Aug-2024,18:26:42 08-Aug-2024,Surface,,,,,53,55,54,0
BOF1,267425,,Transmission,Mk10,4,19:12:00 08-Aug-2024,19:53:40 08-Aug-2024,Message,10,,,,2490.000000,2510.000000,,
BOF1,267425,,Transmission,Mk10,4,19:12:00 08-Aug-2024,19:17:30 08-Aug-2024,Dive,1,Square,57.0,58.5,329,331,,
BOF1,267425,,Transmission,Mk10,4,19:17:30 08-Aug-2024,19:18:28 08-Aug-2024,Surface,,,,,57,59,58,0
BOF1,267425,,Transmission,Mk10,4,19:18:28 08-Aug-2024,19:25:30 08-Aug-2024,Dive,1,Square,57.0,58.5,421,423,,
BOF1,267425,,Transmission,Mk10,4,19:25:30 08-Aug-2024,19:26:44 08-Aug-2024,Surface,,,,,73,75,74,0
