Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
BOF1,24-Jul-2024,17:06:00,11,1.000000,88,11,0,4,,,,,,,,,,,,,,,15,13,15573,,,,11,24392,,,,15,13669,,,,5,29372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,24-Jul-2024,17:36:00,3,1.000000,89,11,0,5,,,,,,,,,,,,,,,15,29,12828,,,,15,18382,,,,20,12258,,,,11,5942,,,,5,28462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,24-Jul-2024,18:06:00,1,1.000000,90,11,0,4,,,,,,,,,,,,,,,15,20,22987,,,,15,25620,,,,29,22091,,,,13,14168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,24-Jul-2024,18:36:00,2,1.000000,91,11,0,4,,,,,,,,,,,,,,,15,5,10358,,,,29,13246,,,,15,868,,,,20,28686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,24-Jul-2024,19:51:00,1,1.000000,92,14,0,4,,,,,,,,,,,,,,,15,24,15567,,,,18,11321,,,,15,20359,,,,13,19148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,24-Jul-2024,21:21:00,3,1.000000,94,16,0,5,,,,,,,,,,,,,,,15,23,30684,,,,18,12440,,,,15,3260,,,,12,9567,,,,24,28955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,24-Jul-2024,22:36:00,1,1.000000,96,17,0,7,,,,,,,,,,,,,,,15,23,3652,,,,28,28278,,,,24,5012,,,,10,6662,,,,12,30996,,,,32,17402,,,,25,19986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,24-Jul-2024,23:06:00,1,1.000000,97,17,0,4,,,,,,,,,,,,,,,15,10,16048,,,,32,2684,,,,28,6481,,,,25,21281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,08-Aug-2024,17:51:12,3,1.000000,98,18,0,4,,,,,,,,,,,,,,,15,20,5424,,,,5,5086,,,,13,4612,,,,29,10312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,08-Aug-2024,23:00:57,2,1.000000,100,33,0,4,,,,,,,,,,,,,,,15,31,7100,,,,10,11425,,,,1,19859,,,,26,23952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,09-Aug-2024,12:14:24,3,1.000000,102,68,0,4,,,,,,,,,,,,,,,15,20,20978,,,,22,14155,,,,17,368,,,,12,22756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,09-Aug-2024,13:35:26,4,1.000000,103,71,0,5,,,,,,,,,,,,,,,15,6,10502,,,,9,24402,,,,4,23322,,,,19,29310,,,,11,24012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,09-Aug-2024,16:52:48,1,1.000000,104,81,0,4,,,,,,,,,,,,,,,15,23,5540,,,,18,15496,,,,15,28267,,,,29,29597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,10-Aug-2024,02:09:52,1,1.000000,106,109,0,5,,,,,,,,,,,,,,,15,28,29704,,,,31,4331,,,,1,947,,,,29,25334,,,,27,17594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,10-Aug-2024,04:02:36,1,1.000000,108,112,0,4,,,,,,,,,,,,,,,15,31,18239,,,,1,26936,,,,26,26237,,,,16,31232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,10-Aug-2024,11:20:46,1,1.000000,111,132,0,4,,,,,,,,,,,,,,,15,11,32074,,,,22,15718,,,,6,14804,,,,12,8026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,10-Aug-2024,14:16:26,1,1.000000,112,140,0,4,,,,,,,,,,,,,,,15,9,7066,,,,6,25799,,,,11,28670,,,,7,21637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,11-Aug-2024,02:29:18,2,1.000000,115,174,0,5,,,,,,,,,,,,,,,15,29,20278,,,,28,25353,,,,1,20614,,,,4,16308,,,,9,14267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,11-Aug-2024,04:44:37,2,1.000000,118,176,0,4,,,,,,,,,,,,,,,15,16,8450,,,,26,23942,,,,18,25449,,,,1,9531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,11-Aug-2024,08:21:52,1,1.000000,121,183,0,4,,,,,,,,,,,,,,,15,7,18330,,,,19,32014,,,,6,1176,,,,30,6442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,11-Aug-2024,14:37:51,1,1.000000,122,201,0,5,,,,,,,,,,,,,,,15,7,30597,,,,30,20258,,,,11,20636,,,,15,17550,,,,6,26027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,12-Aug-2024,00:24:05,2,1.000000,126,227,0,4,,,,,,,,,,,,,,,15,4,27042,,,,3,32657,,,,25,1877,,,,31,13460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,12-Aug-2024,07:48:31,1,1.000000,129,248,0,4,,,,,,,,,,,,,,,15,19,3236,,,,14,10051,,,,17,5905,,,,7,25040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,12-Aug-2024,16:07:29,2,1.000000,132,270,0,6,,,,,,,,,,,,,,,15,20,15322,,,,11,4543,,,,30,14157,,,,15,28924,,,,5,22212,,,,29,15031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,12-Aug-2024,18:31:43,2,1.000000,133,276,0,4,,,,,,,,,,,,,,,15,22,28156,,,,14,6988,,,,15,2828,,,,13,3347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,12-Aug-2024,23:07:01,1,1.000000,135,287,0,5,,,,,,,,,,,,,,,15,2,5810,,,,21,26990,,,,3,29253,,,,31,7973,,,,12,17325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,13-Aug-2024,05:22:08,2,1.000000,137,306,0,4,,,,,,,,,,,,,,,15,16,25742,,,,21,15724,,,,27,16091,,,,8,8492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,13-Aug-2024,07:43:41,1,1.000000,138,313,0,4,,,,,,,,,,,,,,,15,8,24213,,,,7,23952,,,,2,10728,,,,21,23615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,13-Aug-2024,14:20:17,2,1.000000,139,334,0,4,,,,,,,,,,,,,,,15,7,606,,,,13,20954,,,,9,28390,,,,30,11757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,14-Aug-2024,01:32:01,1,1.000000,141,369,0,4,,,,,,,,,,,,,,,15,28,3432,,,,1,7970,,,,31,12589,,,,26,1828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,14-Aug-2024,10:00:00,1,1.000000,144,394,0,4,,,,,,,,,,,,,,,15,24,28502,,,,6,10171,,,,11,19476,,,,14,31754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,14-Aug-2024,14:45:45,1,1.000000,145,408,0,4,,,,,,,,,,,,,,,15,6,2576,,,,7,15101,,,,30,31272,,,,15,7269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,15-Aug-2024,01:04:19,1,1.000000,147,438,0,4,,,,,,,,,,,,,,,15,3,32265,,,,31,23656,,,,29,16660,,,,4,19319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,15-Aug-2024,01:35:34,1,1.000000,148,438,0,5,,,,,,,,,,,,,,,15,29,30892,,,,26,22344,,,,1,24427,,,,31,28678,,,,4,30386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,15-Aug-2024,07:32:25,1,1.000000,150,452,0,4,,,,,,,,,,,,,,,15,7,28107,,,,17,16914,,,,2,5696,,,,3,6934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,16-Aug-2024,18:45:06,1,1.000000,161,541,0,5,,,,,,,,,,,,,,,15,22,26790,,,,13,12902,,,,14,7409,,,,15,25737,,,,5,28219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,17-Aug-2024,05:22:25,1,1.000000,166,563,0,5,,,,,,,,,,,,,,,15,16,6069,,,,27,1179,,,,2,23160,,,,21,1741,,,,8,10351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,17-Aug-2024,12:44:58,1,1.000000,167,586,0,4,,,,,,,,,,,,,,,15,17,28985,,,,19,7212,,,,5,29149,,,,12,19762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,17-Aug-2024,19:59:31,2,1.000000,168,610,0,5,,,,,,,,,,,,,,,15,32,21597,,,,12,9564,,,,23,16114,,,,25,5960,,,,24,17198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,18-Aug-2024,02:06:30,2,1.000000,171,626,0,5,,,,,,,,,,,,,,,15,31,20061,,,,28,4590,,,,18,19686,,,,1,3112,,,,26,28743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,18-Aug-2024,04:50:08,1,1.000000,172,634,0,5,,,,,,,,,,,,,,,15,2,7667,,,,4,26119,,,,9,8241,,,,30,23801,,,,21,4621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,18-Aug-2024,07:35:32,3,1.000000,173,638,0,4,,,,,,,,,,,,,,,15,17,25298,,,,30,6868,,,,22,7003,,,,19,9204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,18-Aug-2024,08:33:00,2,1.000000,174,639,0,4,,,,,,,,,,,,,,,15,19,2635,,,,6,20536,,,,2,16405,,,,17,20432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,18-Aug-2024,11:41:37,1,1.000000,175,648,0,4,,,,,,,,,,,,,,,15,20,13959,,,,22,621,,,,5,21132,,,,25,8710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,18-Aug-2024,12:27:37,1,1.000000,176,649,0,4,,,,,,,,,,,,,,,15,5,26454,,,,12,32380,,,,20,19263,,,,11,19550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,18-Aug-2024,16:35:53,1,1.000000,177,660,0,4,,,,,,,,,,,,,,,15,20,28162,,,,29,10706,,,,30,6747,,,,15,8383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,18-Aug-2024,21:10:25,2,1.000000,178,674,0,4,,,,,,,,,,,,,,,15,23,26068,,,,12,28567,,,,25,28506,,,,32,28883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,19-Aug-2024,08:12:43,1,1.000000,180,707,0,4,,,,,,,,,,,,,,,15,7,10967,,,,3,28506,,,,6,17636,,,,30,18776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,20-Aug-2024,02:00:06,2,1.000000,181,765,0,4,,,,,,,,,,,,,,,15,31,628,,,,1,14110,,,,26,8639,,,,28,15782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,20-Aug-2024,04:14:05,3,1.000000,182,770,0,4,,,,,,,,,,,,,,,15,16,16084,,,,8,27988,,,,21,9641,,,,27,8986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,20-Aug-2024,06:58:49,2,,183,777,0,4,,,,,,,,,,,,,,,15,22,17825,,,,17,11723,,,,14,19846,,,,13,30363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,21-Aug-2024,01:23:50,1,,185,840,0,4,,,,,,,,,,,,,,,15,1,1168,,,,26,9402,,,,29,22093,,,,31,9542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,21-Aug-2024,02:33:24,1,,186,841,0,5,,,,,,,,,,,,,,,15,1,15005,,,,26,31728,,,,27,12866,,,,31,17645,,,,16,30272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,22-Aug-2024,00:16:00,3,,189,907,0,4,,,,,,,,,,,,,,,15,1,5510,,,,26,14699,,,,16,25,,,,3,4832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
