DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,LocationQuality,Latitude,Longitude,MinDepth,MinDepthAccuracy,MaxDepth,MaxDepthAccuracy,MinTemp,MinTempAccuracy,MaxTemp,MaxTempAccuracy,MobMean,MobSD,ActivitySum
BOF1,267425,,Transmission,Mk10,4,17:00:00 24-Jul-2024,18:00:00 24-Jul-2024,,,,0.0,0.00,1.0,0.00,25.5,0.00,29.3,0.00,,,
BOF1,267425,,Transmission,Mk10,2,18:00:00 24-Jul-2024,19:00:00 24-Jul-2024,,,,0.0,0.00,1.0,0.00,26.2,0.00,29.6,0.00,,,
BOF1,267425,,Transmission,Mk10,3,19:00:00 24-Jul-2024,20:00:00 24-Jul-2024,,,,0.0,0.00,0.5,0.00,21.9,0.00,26.8,0.00,,,
BOF1,267425,,Transmission,Mk10,1,20:00:00 24-Jul-2024,21:00:00 24-Jul-2024,,,,,,,,21.4,0.00,22.6,0.00,,,
BOF1,267425,,Transmission,Mk10,1,22:00:00 24-Jul-2024,23:00:00 24-Jul-2024,,,,,,,,19.9,0.00,21.0,0.00,,,
BOF1,267425,,Transmission,Mk10,1,17:00:00 08-Aug-2024,18:00:00 08-Aug-2024,,,,0.0,0.00,47.0,0.25,,,,,,,
BOF1,267425,,Transmission,Mk10,2,18:00:00 08-Aug-2024,19:00:00 08-Aug-2024,,,,0.0,0.00,60.0,0.75,,,,,,,
BOF1,267425,,Transmission,Mk10,3,19:00:00 08-Aug-2024,20:00:00 08-Aug-2024,,,,0.0,0.00,60.0,0.75,,,,,,,
BOF1,267425,,Transmission,Mk10,3,20:00:00 08-Aug-2024,21:00:00 08-Aug-2024,,,,0.0,0.00,58.0,0.75,,,,,,,
BOF1,267425,,Transmission,Mk10,1,21:00:00 08-Aug-2024,22:00:00 08-Aug-2024,,,,0.0,0.00,52.0,0.25,,,,,,,
BOF1,267425,,Transmission,Mk10,1,22:00:00 08-Aug-2024,23:00:00 08-Aug-2024,,,,0.0,0.00,48.0,0.25,,,,,,,
BOF1,267425,,Transmission,Mk10,1,23:00:00 08-Aug-2024,00:00:00 09-Aug-2024,,,,0.0,0.00,32.0,0.25,,,,,,,
BOF1,267425,,Transmission,Mk10,1,00:00:00 11-Aug-2024,01:00:00 11-Aug-2024,,,,0.0,0.00,23.5,0.00,,,,,,,
BOF1,267425,,Transmission,Mk10,2,01:00:00 11-Aug-2024,02:00:00 11-Aug-2024,,,,0.0,0.00,36.0,0.25,,,,,,,
BOF1,267425,,Transmission,Mk10,1,02:00:00 11-Aug-2024,03:00:00 11-Aug-2024,,,,0.0,0.00,21.0,0.00,,,,,,,
