Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,50CI,95CI,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
BOF1,08-Aug-2024,17:51:12,3,1.000000,98,18,0,4,44.87890,-66.43644,17:51:12 08-Aug-2024,Interpolated,44.87341,-66.45170,,,,,2.0,0.8,,,,15,20,5424,,,,5,5086,,,,13,4612,,,,29,10312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,08-Aug-2024,23:00:57,2,1.000000,100,33,0,4,44.87937,-66.48082,23:00:57 08-Aug-2024,Interpolated,44.88762,-66.52726,,,,,11.0,-0.4,,,,15,31,7100,,,,10,11425,,,,1,19859,,,,26,23952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,09-Aug-2024,12:14:24,3,1.000000,102,68,0,4,44.79276,-66.54932,12:14:24 09-Aug-2024,Interpolated,44.77279,-66.62082,,,,,0.5,-0.9,,,,15,20,20978,,,,22,14155,,,,17,368,,,,12,22756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,09-Aug-2024,13:35:26,4,1.000000,103,71,0,5,44.78763,-66.62636,13:35:26 09-Aug-2024,Interpolated,44.78771,-66.64176,,,,,3.0,-0.4,,,,15,6,10502,,,,9,24402,,,,4,23322,,,,19,29310,,,,11,24012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,09-Aug-2024,16:52:48,1,1.000000,104,81,0,4,44.81560,-66.63366,16:52:48 09-Aug-2024,Interpolated,44.77421,-66.60656,,,,,0.8,-0.8,,,,15,23,5540,,,,18,15496,,,,15,28267,,,,29,29597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,10-Aug-2024,02:09:52,1,1.000000,106,109,0,5,44.79479,-66.62855,02:09:52 10-Aug-2024,Interpolated,44.68343,-66.64161,,1,,,28.2,-0.5,,,,15,28,29704,,,,31,4331,,,,1,947,,,,29,25334,,,,27,17594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,10-Aug-2024,04:02:36,1,1.000000,108,112,0,4,44.79133,-66.62619,04:02:36 10-Aug-2024,Interpolated,44.79823,-66.65032,,,,,10.4,-0.7,,,,15,31,18239,,,,1,26936,,,,26,26237,,,,16,31232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,10-Aug-2024,11:20:46,1,1.000000,111,132,0,4,44.83935,-66.48086,11:20:46 10-Aug-2024,Interpolated,44.85236,-66.49814,,,,,23.3,-0.7,,,,15,11,32074,,,,22,15718,,,,6,14804,,,,12,8026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,10-Aug-2024,14:16:26,1,1.000000,112,140,0,4,44.77643,-66.66020,14:16:26 10-Aug-2024,Interpolated,44.80461,-66.68866,,,,,0.3,-0.4,,,,15,9,7066,,,,6,25799,,,,11,28670,,,,7,21637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF1,11-Aug-2024,02:29:18,2,1.000000,115,174,0,5,44.58545,-66.57663,02:29:18 11-Aug-2024,Interpolated,44.63747,-66.46348,,1,,,21.4,-1.1,,,,15,29,20278,,,,28,25353,,,,1,20614,,,,4,16308,,,,9,14267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
