DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
BOF2,267426,,Transmission,Mk10,TAT,21:00:00 08-Aug-2024,1.000000,7,0,,,,11,100,0,0,0,0,0,2.8,6.1,30.7,60.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF2,267426,,Transmission,Mk10,TAT,02:00:00 09-Aug-2024,1.000000,7,0,,,,11,100,0,0,0,0,0,2.5,6.8,21.5,69.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF2,267426,,Transmission,Mk10,TAT,08:00:00 09-Aug-2024,1.000000,1,0,,,,11,100,0,0,0,0,0,47.1,14.8,28.4,9.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF2,267426,,Transmission,Mk10,TAT,14:00:00 09-Aug-2024,1.000000,1,0,,,,11,100,0,0,0,0,0,40.6,29.8,29.4,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF2,267426,,Transmission,Mk10,TAT,02:00:00 10-Aug-2024,1.000000,3,0,,,,11,100,0,0,0,0,0,0,17.5,82.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF2,267426,,Transmission,Mk10,TAT,08:00:00 10-Aug-2024,1.000000,2,0,,,,11,100,0,0,0,0,0,19.1,13.3,64.8,2.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF2,267426,,Transmission,Mk10,TAT,14:00:00 10-Aug-2024,1.000000,1,0,,,,11,100,0,0,0,0,0,4.8,14.5,76.8,3.9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF2,267426,,Transmission,Mk10,TAT,20:00:00 10-Aug-2024,1.000000,1,0,,,,11,100,0,0,0,0,0,17.2,2.8,38.6,41.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF2,267426,,Transmission,Mk10,TAT,14:00:00 11-Aug-2024,1.000000,1,0,,,,11,100,0,0,0,0,0,10,7.0,57.3,25.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOF2,267426,,Transmission,Mk10,TAT,20:00:00 11-Aug-2024,1.000000,1,0,,,,11,100,0,0,0,0,0,12.4,33.3,54.2,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
