DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
BOF2,267426,Mk10,17:29:25 24-Jul-2024,Argos,3,44.9021,-66.9880,93,279,30,99,,,,,,
BOF2,267426,Mk10,19:20:07 24-Jul-2024,Argos,2,44.9105,-66.9685,376,751,188,111,,,,,,Lat > 4 deviations from mean
BOF2,267426,Mk10,20:58:16 24-Jul-2024,Argos,3,44.9021,-66.9907,225,2705,18,79,,,,,,
BOF2,267426,Mk10,21:30:37 24-Jul-2024,Argos,3,44.9027,-66.9857,97,114,81,81,,,,,,
BOF2,267426,Mk10,21:45:54 24-Jul-2024,Argos,A,44.9010,-66.9819,176,362,85,38,,,,,,
BOF2,267426,Mk10,21:49:58 24-Jul-2024,Argos,3,44.9013,-66.9832,245,458,130,108,,,,,,
BOF2,267426,Mk10,22:35:41 24-Jul-2024,Argos,B,44.9018,-66.9806,950,1414,638,87,,,,,,
BOF2,267426,Mk10,22:49:22 24-Jul-2024,Argos,B,44.9019,-66.9811,1072,1570,731,88,,,,,,
BOF2,267426,Mk10,23:16:24 24-Jul-2024,Argos,3,44.8997,-66.9758,194,1011,37,103,,,,,,
BOF2,267426,Mk10,23:16:24 24-Jul-2024,Argos,3,44.8992,-66.9749,151,714,31,102,,,,,,
BOF2,267426,Mk10,23:23:49 24-Jul-2024,Argos,B,44.9015,-66.9807,1011,1530,667,93,,,,,,
BOF2,267426,Mk10,21:03:00 08-Aug-2024,User,,44.8533,-66.4038,,,,,,,,,,
BOF2,267426,Mk10,22:02:51 08-Aug-2024,Argos,B,44.8442,-66.5265,12694,788319,204,123,,,,,,
BOF2,267426,Mk10,23:38:38 08-Aug-2024,Argos,B,44.7943,-66.4475,2241,5687,882,115,,,,,,
BOF2,267426,Mk10,23:41:00 08-Aug-2024,Argos,B,44.7880,-66.5340,1062,12966,86,142,,,,,,
BOF2,267426,Mk10,23:43:22 08-Aug-2024,Argos,B,44.7887,-66.4421,1961,4756,808,108,,,,,,
BOF2,267426,Mk10,00:18:39 09-Aug-2024,Argos,B,44.7765,-66.4210,1635,3037,879,92,,,,,,
BOF2,267426,Mk10,01:01:54 09-Aug-2024,Argos,B,44.7776,-66.4133,1334,28005,63,67,,,,,,
BOF2,267426,Mk10,01:30:19 09-Aug-2024,Argos,B,44.7566,-66.4283,1380,4793,397,72,,,,,,
BOF2,267426,Mk10,01:56:38 09-Aug-2024,Argos,B,44.7408,-66.4710,824,11991,56,111,,,,,,
BOF2,267426,Mk10,02:27:56 09-Aug-2024,Argos,B,44.7593,-66.4947,1010,25320,40,80,,,,,,
BOF2,267426,Mk10,04:08:40 09-Aug-2024,Argos,B,44.7681,-66.4942,1543,2888,823,84,,,,,,
BOF2,267426,Mk10,04:48:25 09-Aug-2024,Argos,1,44.8488,-66.4583,938,2892,304,115,,,,,,
BOF2,267426,Mk10,09:09:16 09-Aug-2024,Argos,B,45.0442,-66.3022,8912,18412,4313,100,,,,,,
BOF2,267426,Mk10,09:51:36 09-Aug-2024,Argos,0,44.9055,-66.5656,8523,37806,1921,109,,,,,,
