DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon,Tilt,S11,ReleaseWetDry,ReleaseTemperature,MaxDepth,LLRangeToday,DeployStart,FirstPostReleaseTX,upright,SWBuild
BOF2,267426,,Mk10,,17:24:40 24-Jul-2024,17:24:42 24-Jul-2024,2,3,44.9021,-66.9880,CRC,0,0,,,,1.000,0.068,,0.5,0.0,-1,,,,,,,,,,,255,255,255,80,,,,,,,,97,10,0,,,,,,,,,,
BOF2,267426,,Mk10,,,17:25:27 24-Jul-2024,,3,44.9021,-66.9880,CRC,0,0,,394,3.568,0.992,0.068,28.90,0.5,0.0,-1,,,,,,,,,,,255,255,255,80,,,,,,,,97,10,0,,,,,,,,,,
BOF2,267426,,Mk10,,17:26:10 24-Jul-2024,17:26:12 24-Jul-2024,2,3,44.9021,-66.9880,CRC,0,0,,,,1.000,0.068,,1.0,0.0,-1,,,,,,,,,,,255,255,255,80,,,,,,,,97,10,0,,,,,,,,,,
BOF2,267426,,Mk10,,,17:28:42 24-Jul-2024,,3,44.9021,-66.9880,CRC,0,0,,406,3.504,0.992,0.068,29.00,0.5,0.0,-1,,,,,,,,,,,255,255,255,80,,,,,,,,98,11,0,,,,,,,,,,
BOF2,267426,,Mk10,,,17:29:42 24-Jul-2024,,3,44.9021,-66.9880,CRC,0,0,,410,3.504,0.992,0.068,29.00,0.0,0.0,-1,,,,,,,,,,,255,255,255,80,,,,,,,,98,10,0,,,,,,,,,,
BOF2,267426,,Mk10,,,16:11:17 10-Aug-2024,,1,44.7165,-66.2338,CRC,0,0,,1653,3.440,0.992,0.176,13.20,0.5,58.0,-1,,,,,,,,,,,113,18,255,80,16,,,,,,,255,151,0,,,,,,,,,,
BOF2,267426,,Mk10,,08:17:15 11-Aug-2024,08:17:16 11-Aug-2024,1,B,44.6834,-66.2650,CRC,0,0,,,,0.992,0.168,,0.5,70.0,-2,,,,,,,,,,,154,17,255,80,16,,,,,,,307,200,0,,,,,,,,,,
BOF2,267426,,Mk10,,,14:17:41 11-Aug-2024,,B,44.7321,-66.7389,,0,0,,2037,3.376,0.984,0.348,14.40,-36.5,228.0,-17,,,,,,,,,,,,21,194,82,43784,,,,,,,,,0,,,,,,,,,,
BOF2,267426,,Mk10,,10:39:23 12-Aug-2024,10:39:24 12-Aug-2024,1,B,44.3149,-66.7370,CRC,0,0,,,,0.992,0.180,,0.5,66.0,-2,,,,,,,,,,,196,18,255,80,16,,,,,,,397,289,0,,,,,,,,,,
BOF2,267426,,Mk10,,,14:35:23 13-Aug-2024,,A,43.9962,-67.3179,CRC,0,0,,2869,3.440,0.992,0.212,16.00,0.0,88.0,-1,,,,,,,,,,,126,17,255,80,16,,,,,,,489,375,0,,,,,,,,,,
BOF2,267426,,Mk10,,,22:14:06 13-Aug-2024,,B,44.4230,-67.0933,CRC,0,0,,2997,3.312,0.984,0.380,12.50,0.5,88.0,0,,,,,,,,,,,132,17,255,80,16,,,,,,,516,401,0,,,,,,,,,,
BOF2,267426,,Mk10,,15:08:51 16-Aug-2024,15:08:52 16-Aug-2024,1,1,44.1586,-66.8612,CRC,0,0,,,,0.992,0.176,,0.5,54.0,-2,,,,,,,,,,,190,17,255,80,16,,,,,,,723,594,0,,,,,,,,,,
BOF2,267426,,Mk10,,,16:28:38 16-Aug-2024,,A,44.1741,-66.9604,CRC,0,0,,3893,3.440,0.992,0.180,17.20,1.0,54.0,-2,,,,,,,,,,,224,17,255,80,16,,,,,,,727,598,0,,,,,,,,,,
BOF2,267426,,Mk10,,16:33:06 17-Aug-2024,16:33:07 17-Aug-2024,1,B,44.7662,-66.4791,CRC,0,0,,,,0.992,0.344,,0.5,66.0,-1,,,,,,,,,,,114,17,255,80,16,,,,,,,808,676,0,,,,,,,,,,
BOF2,267426,,Mk10,,01:20:51 18-Aug-2024,01:20:52 18-Aug-2024,1,0,44.8205,-65.9661,CRC,0,0,,,,0.992,0.208,,0.5,70.0,0,,,,,,,,,,,194,17,255,80,16,,,,,,,834,700,0,,,,,,,,,,
BOF2,267426,,Mk10,,21:36:58 18-Aug-2024,21:36:59 18-Aug-2024,1,B,44.2335,-66.8140,CRC,0,0,,,,0.992,0.248,,0.0,70.0,-1,,,,,,,,,,,171,17,255,80,16,,,,,,,900,763,0,,,,,,,,,,
BOF2,267426,,Mk10,,04:40:35 20-Aug-2024,04:40:36 20-Aug-2024,1,B,44.8736,-66.2484,CRC,0,0,,,,0.992,0.212,,0.0,52.0,-1,,,,,,,,,,,229,17,255,80,16,,,,,,,993,849,0,,,,,,,,,,
BOF2,267426,,Mk10,,,16:47:57 21-Aug-2024,,B,44.7916,-66.0179,CRC,0,0,,5429,3.440,0.992,0.188,15.90,0.5,56.0,-2,,,,,,,,,,,131,17,255,80,16,,,,,,,1106,959,0,,,,,,,,,,
BOF2,267426,,Mk10,,,16:58:12 23-Aug-2024,,A,44.1113,-66.9743,CRC,0,0,,6005,3.376,0.984,0.356,17.70,0.5,74.0,-2,,,,,,,,,,,126,17,255,80,16,,,,,,,1255,1102,0,,,,,,,,,,
BOF2,267426,,Mk10,,,03:07:46 25-Aug-2024,,B,44.2858,-66.5510,CRC,0,0,,6645,3.376,0.992,0.256,12.60,0.5,82.0,-2,,,,,,,,,,,163,17,255,80,16,,,,,,,1359,1190,0,,,,,,,,,,
BOF2,267426,,Mk10,,13:52:21 25-Aug-2024,13:52:21 25-Aug-2024,0,B,44.6057,-66.1560,CRC,0,0,,,,0.992,0.368,,0.5,82.0,-2,,,,,,,,,,,202,17,255,80,16,,,,,,,1389,1214,0,,,,,,,,,,
BOF2,267426,,Mk10,,15:06:01 27-Aug-2024,15:06:02 27-Aug-2024,1,A,44.9363,-66.8678,CRC,0,0,,,,0.984,0.384,,0.5,60.0,-2,,,,,,,,,,,132,17,255,80,16,,,,,,,1532,1338,0,,,,,,,,,,
BOF2,267426,,Mk10,,,11:37:28 29-Aug-2024,,B,44.7586,-66.6387,CRC,0,0,,7797,3.440,0.992,0.224,13.60,0.5,76.0,-1,,,,,,,,,,,129,17,255,80,16,,,,,,,1673,1466,0,,,,,,,,,,
BOF2,267426,,Mk10,,14:37:42 29-Aug-2024,14:37:43 29-Aug-2024,1,A,44.5858,-66.6583,CRC,0,0,,,,1.000,0.176,,0.5,76.0,-2,,,,,,,,,,,132,17,255,80,16,,,,,,,1682,1474,0,,,,,,,,,,
BOF2,267426,,Mk10,,10:10:51 30-Aug-2024,10:10:52 30-Aug-2024,1,0,44.8409,-66.6263,CRC,0,0,,,,0.992,0.252,,0.5,84.0,0,,,,,,,,,,,255,17,255,80,16,,,,,,,1737,1519,0,,,,,,,,,,
BOF2,267426,,Mk10,,,02:47:21 31-Aug-2024,,B,44.4308,-66.2287,CRC,0,0,,8245,3.376,0.992,0.272,12.50,0.5,74.0,-1,,,,,,,,,,,175,17,255,80,16,,,,,,,1786,1563,0,,,,,,,,,,
