DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error Radius,Error Semi-Major Axis,Error Semi-Minor Axis,Error Ellipse Orientation,Offset,Offset Orientation,GPE MSD,GPE U,Count,Comment
CCS-0518,243060,Mk10,15:51:00 02-Aug-2024,User,,42.1889,-69.9474,,,,,,,,,,
CCS-0518,243060,Mk10,15:58:40.826000 02-Aug-2024,FastGPS,6,42.1950,-69.9372,,,,,,,,,,
CCS-0518,243060,Mk10,16:18:36 02-Aug-2024,Argos,A,44.2699,-79.8868,,,,,,,,,,
CCS-0518,243060,Mk10,16:34:48.545922 02-Aug-2024,FastGPS,4,42.1869,-69.9243,,,,,,,,,,
CCS-0518,243060,Mk10,16:35:48 02-Aug-2024,Argos,A,42.1667,-69.8725,,,,,,,,,,
CCS-0518,243060,Mk10,17:08:23.478493 02-Aug-2024,FastGPS,4,42.1762,-69.9076,,,,,,,,,,
CCS-0518,243060,Mk10,17:20:48 02-Aug-2024,Argos,B,42.1693,-69.8669,8410,13584,5207,71,,,,,,
CCS-0518,243060,Mk10,17:38:44.027816 02-Aug-2024,FastGPS,4,42.1902,-69.9136,,,,,,,,,,
CCS-0518,243060,Mk10,17:55:37 02-Aug-2024,Argos,B,42.1692,-69.8667,6982,9920,4913,81,,,,,,
CCS-0518,243060,Mk10,18:13:06.852832 02-Aug-2024,FastGPS,5,42.1795,-69.9063,,,,,,,,,,
CCS-0518,243060,Mk10,18:53:17 02-Aug-2024,Argos,B,42.1861,-69.8564,7118,10165,4983,87,,,,,,
CCS-0518,243060,Mk10,19:04:54.980646 02-Aug-2024,FastGPS,6,42.1862,-69.8802,,,,,,,,,,
CCS-0518,243060,Mk10,19:47:19 02-Aug-2024,Argos,A,42.1375,-70.0355,7723,39186,1522,112,,,,,,
CCS-0518,243060,Mk10,21:15:25 02-Aug-2024,Argos,B,42.1461,-70.1993,6617,8195,5342,15,,,,,,
CCS-0518,243060,Mk10,21:30:17 02-Aug-2024,Argos,A,41.6975,-70.0002,31621,74835,13361,95,,,,,,
CCS-0518,243060,Mk10,21:46:34 02-Aug-2024,Argos,0,42.2046,-69.8811,5051,10810,2360,39,,,,,,
