Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,50CI,95CI,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
CCS-2402,22-Jun-2024,14:43:36,5,-2.000000,76,27,0,4,42.15608,-70.33847,21:17:33 22-Jun-2024,Argos,42.21729,-70.36214,,,,,1.0,-1.1,,,,15,6,13731,,,,11,14020,,,,19,20139,,,,12,31452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,22-Jun-2024,15:33:05,1,-2.000000,77,28,0,4,42.15608,-70.33847,21:17:33 22-Jun-2024,Argos,42.19357,-70.45138,,,,,9.7,-0.9,,,,15,17,25310,,,,6,28412,,,,19,6546,,,,9,25437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,22-Jun-2024,19:36:09,2,-2.000000,80,37,0,5,42.25211,-70.35008,19:36:07 22-Jun-2024,Interpolated,42.22692,-70.35262,,,,,4.3,-1.1,,,,15,29,4552,,,,5,31096,,,,15,13840,,,,7,17746,,,,20,30741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,23-Jun-2024,10:29:16,1,-2.000000,92,64,0,6,42.42869,-70.37214,10:29:14 23-Jun-2024,Interpolated,42.47988,-70.37446,,,,,16.3,-0.3,,,,15,10,14606,,,,14,6112,,,,27,8967,,,,22,31164,,,,8,23026,,,,21,30864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,23-Jun-2024,11:19:07,1,-2.000000,93,65,0,4,42.47751,-70.40274,11:19:05 23-Jun-2024,Interpolated,42.50486,-70.45576,,,,,1.3,0.1,,,,15,3,9950,,,,21,22586,,,,2,30416,,,,8,11660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,23-Jun-2024,11:49:33,1,-2.000000,94,65,0,6,42.53962,-70.47230,11:49:31 23-Jun-2024,Interpolated,42.54818,-70.47939,,,,,8.9,0.3,,,,15,2,9399,,,,21,23608,,,,7,504,,,,3,11595,,,,14,28319,,,,30,31739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,23-Jun-2024,15:43:02,1,-2.000000,97,73,0,5,42.79824,-70.62504,15:43:00 23-Jun-2024,Interpolated,42.74442,-70.62681,,,,,9.0,0.6,,,,15,9,6567,,,,17,28183,,,,6,31202,,,,19,24694,,,,4,4740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,23-Jun-2024,18:38:20,1,-2.000000,101,76,0,5,42.84743,-70.68400,18:38:18 23-Jun-2024,Interpolated,42.80312,-70.70012,,,,,0.1,-0.3,,,,15,20,18080,,,,30,1194,,,,13,29716,,,,5,7692,,,,6,29707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,23-Jun-2024,20:09:16,1,-2.000000,104,76,0,4,42.80138,-70.68085,20:09:14 23-Jun-2024,Interpolated,42.79934,-70.69815,,,,,3.1,-0.2,,,,15,29,10633,,,,15,1183,,,,11,13141,,,,13,6173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS-2402,24-Jun-2024,06:42:13,1,-2.000000,111,98,0,6,42.75194,-70.61169,06:42:11 24-Jun-2024,Interpolated,42.83094,-70.64380,,1,,,3.7,0.4,,,,15,9,14835,,,,16,1400,,,,26,29284,,,,1,5500,,,,18,19264,,,,4,7130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
